"","pbs_code"
"1646","02959R"
"1647","08223T"
"1648","02143T"
"1649","03419Y"
"1650","09284P"
"1651","09125G"
"1652","02592K"
"1653","09298J"
"1654","08745G"
"1655","09183H"
"1656","09507J"
"1657","02805P"
"1658","09240H"
"1659","02708M"
"1660","02772X"
"1661","01048E"
"1662","05488W"
"1663","09425C"
"1664","02231K"
"1665","05508X"
"1666","08193F"
"1667","01062X"
"1668","08958L"
"1669","02348N"
"1670","09166K"
"1671","07263G"
"1672","09459W"
"1673","02600W"
"1674","02382J"
"1675","05359C"
"1676","09142E"
"1677","09306T"
"1678","05987D"
"1679","02496J"
"1680","08063J"
"1681","02653P"
"1682","08953F"
"1683","01801T"
"1684","03429L"
"1685","02014B"
"1686","02776D"
"1687","01540C"
"1688","01351D"
"1689","05739C"
"1690","02349P"
"1691","02414C"
"1692","01210Q"
"1693","02946C"
"1694","08699W"
"1695","08398B"
"1696","05327J"
"1697","06594C"
"1698","09239G"
"1699","02770T"
"1700","01691B"
"1701","06270B"
"1702","07272R"
"1703","05460J"
"1704","08973G"
"1705","08294M"
"1706","09202H"
"1707","02913H"
"1708","02454E"
"1709","05177L"
"1710","08783G"
"1711","09357L"
"1712","03136C"
"1713","09654D"
"1714","09237E"
"1715","08253J"
"1716","05741E"
"1717","08642W"
"1718","05825N"
"1719","02874G"
"1720","02248H"
"1721","06215D"
"1722","08601Q"
"1723","09422X"
"1724","08467P"
"1725","09627Q"
"1726","05617P"
"1727","06569R"
"1728","10092E"
"1729","02890D"
"1730","09558C"
"1731","08461H"
"1732","06478Y"
"1733","03337P"
"1734","05808Q"
"1735","08412R"
"1736","09489K"
"1737","01790F"
"1738","02274Q"
"1739","08540L"
"1740","05259T"
"1741","05662B"
"1742","01490K"
"1743","09632Y"
"1744","05268G"
"1745","01520B"
"1746","09720N"
"1747","09333F"
"1748","01246N"
"1749","01516T"
"1750","01932Q"
"1751","05462L"
"1752","05771R"
"1753","08940M"
"1754","07457L"
"1755","06614D"
"1756","08610E"
"1757","09567M"
"1758","09718L"
"1759","09047E"
"1760","07249M"
"1761","09147K"
"1762","08742D"
"1763","04620E"
"1764","02134H"
"1765","09458T"
"1766","02041K"
"1767","02568E"
"1768","05732Q"
"1769","09598E"
"1770","08390N"
"1771","01836P"
"1772","07342K"
"1773","05821J"
"1774","08705E"
"1775","05407N"
"1776","09349C"
"1777","02150E"
"1778","01887H"
"1779","02987F"
"1780","01627P"
"1781","03342X"
"1782","01389D"
"1783","05113D"
"1784","01491L"
"1785","01659H"
"1786","09719M"
"1787","02747N"
"1788","02018F"
"1789","08716R"
"1790","05787N"
"1791","05151D"
"1792","02596P"
"1793","03019X"
"1794","10074F"
"1795","08555G"
"1796","02480M"
"1797","02232L"
"1798","05371Q"
"1799","01189N"
"1800","08647D"
"1801","06263P"
"1802","03428K"
"1803","05902P"
"1804","05146W"
"1805","02351R"
"1806","08365G"
"1807","09420T"
"1808","08501K"
"1809","08907T"
"1810","01162E"
"1811","08653K"
"1812","05321C"
"1813","08239P"
"1814","02387P"
"1815","05834C"
"1816","09310B"
"1817","08892B"
"1818","03010K"
"1819","08292K"
"1820","08222R"
"1821","05208D"
"1822","09547L"
"1823","04650R"
"1824","05434B"
"1825","05943T"
"1826","01853M"
"1827","09392H"
"1828","07260D"
"1829","05852B"
"1830","01460W"
"1831","08489T"
"1832","08457D"
"1833","05375X"
"1834","08679T"
"1835","08554F"
"1836","02429W"
"1837","01466E"
"1838","05715T"
"1839","07599Y"
"1840","09483D"
"1841","02289L"
"1842","05546X"
"1843","08436B"
"1844","02453D"
"1845","05541P"
"1846","02263D"
"1847","06872Q"
"1848","09165J"
"1849","02571H"
"1850","09389E"
"1851","02296W"
"1852","05166X"
"1853","02118L"
"1854","02361G"
"1855","03138E"
"1856","02646G"
"1857","02630K"
"1858","02798G"
"1859","01255C"
"1860","08348J"
"1861","01416M"
"1862","08058D"
"1863","05770Q"
"1864","02810X"
"1865","08845M"
"1866","09331D"
"1867","02608G"
"1868","02357C"
"1869","09245N"
"1870","08789N"
"1871","05853C"
"1872","09064C"
"1873","08221Q"
"1874","02701E"
"1875","05512D"
"1876","09691C"
"1877","01575X"
"1878","02593L"
"1879","09386B"
"1880","01220F"
"1881","01647Q"
"1882","01005X"
"1883","10137M"
"1884","08120J"
"1885","08414W"
"1886","02281C"
"1887","09416N"
"1888","02013Y"
"1889","05666F"
"1890","02981X"
"1891","04512L"
"1892","05794Y"
"1893","08478F"
"1894","06468K"
"1895","04502Y"
"1896","05619R"
"1897","01614Y"
"1898","08640R"
"1899","05427P"
"1900","06246R"
"1901","05144R"
"1902","08491X"
"1903","01309X"
"1904","05936K"
"1905","05861L"
"1906","02671N"
"1907","08379B"
"1908","08094B"
"1909","00043G"
"1910","06219H"
"1911","01304P"
"1912","08899J"
"1913","05652L"
"1914","09347Y"
"1915","08802G"
"1916","01341N"
"1917","06591X"
"1918","05319Y"
"1919","03130R"
"1920","02757D"
"1921","02961W"
"1922","07545D"
"1923","03406G"
"1924","09171Q"
"1925","01733F"
"1926","06407F"
"1927","08682Y"
"1928","06869M"
"1929","05398D"
"1930","09226N"
"1931","02692Q"
"1932","02634P"
"1933","10003L"
"1934","01722P"
"1935","05925W"
"1936","09094P"
"1937","02654Q"
"1938","09722Q"
"1939","05278T"
"1940","09197C"
"1941","01256D"
"1942","09241J"
"1943","01603J"
"1944","09292C"
"1945","09659J"
"1946","09213X"
"1947","06289B"
"1948","05102M"
"1949","09340N"
"1950","09541E"
"1951","02493F"
"1952","10044P"
"1953","01567L"
"1954","08415X"
"1955","08545R"
"1956","09449H"
"1957","06536B"
"1958","09677H"
"1959","09318K"
"1960","09041W"
"1961","05167Y"
"1962","01392G"
"1963","06292E"
"1964","04436L"
"1965","02444P"
"1966","09133Q"
"1967","09664P"
"1968","09355J"
"1969","01781R"
"1970","08240Q"
"1971","08079F"
"1972","08750M"
"1973","05927Y"
"1974","05583W"
"1975","05763H"
"1976","02765M"
"1977","05395Y"
"1978","05845P"
"1979","02921R"
"1980","08135E"
"1981","01414K"
"1982","05733R"
"1983","05570E"
"1984","05985B"
"1985","05029Q"
"1986","07256X"
"1987","01555W"
"1988","09346X"
"1989","06481D"
"1990","05451X"
"1991","08464L"
"1992","05305F"
"1993","02915K"
"1994","05149B"
"1995","03416T"
"1996","08353P"
"1997","03092R"
"1998","01095P"
"1999","05265D"
"2000","08020D"
"2001","06365B"
"2002","06151R"
"2003","06397Q"
"2004","02975N"
"2005","02145X"
"2006","10045Q"
"2007","08799D"
"2008","01247P"
"2009","02024M"
"2010","03360W"
"2011","09161E"
"2012","05910C"
"2013","06896Y"
"2014","02547C"
"2015","08758Y"
"2016","05247E"
"2017","05047P"
"2018","09727Y"
"2019","09108J"
"2020","05836E"
"2021","09681M"
"2022","07234R"
"2023","01476Q"
"2024","02818H"
"2025","08160L"
"2026","02025N"
"2027","09169N"
"2028","08128T"
"2029","08880J"
"2030","02362H"
"2031","05233K"
"2032","09460X"
"2033","08432T"
"2034","01288T"
"2035","02518M"
"2036","06480C"
"2037","09668W"
"2038","10026Q"
"2039","01434L"
"2040","06218G"
"2041","08496E"
"2042","09597D"
"2043","04703M"
"2044","09044B"
"2045","05854D"
"2046","02681D"
"2047","03033P"
"2048","08830R"
"2049","06450L"
"2050","01766Y"
"2051","03426H"
"2052","05743G"
"2053","09086F"
"2054","09397N"
"2055","05647F"
"2056","01788D"
"2057","08068P"
"2058","08290H"
"2059","05143Q"
"2060","05784K"
"2061","02844Q"
"2062","09098W"
"2063","02167C"
"2064","06195C"
"2065","01928L"
"2066","05148Y"
"2067","07082R"
"2068","06324W"
"2069","02700D"
"2070","08507R"
"2071","07056J"
"2072","04632T"
"2073","09020R"
"2074","08616L"
"2075","09308X"
"2076","06609W"
"2077","09439T"
"2078","05236N"
"2079","08821G"
"2080","05897J"
"2081","03134Y"
"2082","08202Q"
"2083","05281Y"
"2084","08035X"
"2085","09423Y"
"2086","09265P"
"2087","05665E"
"2088","10187E"
"2089","05452Y"
"2090","07052E"
"2091","05751Q"
"2092","06322R"
"2093","06503G"
"2094","09564J"
"2095","02722G"
"2096","05285E"
"2097","09103D"
"2098","08827N"
"2099","10057H"
"2100","08465M"
"2101","07231N"
"2102","01699K"
"2103","08454Y"
"2104","06268X"
"2105","06102E"
"2106","08331L"
"2107","02379F"
"2108","08084L"
"2109","01492M"
"2110","09503E"
"2111","06593B"
"2112","09690B"
"2113","06216E"
"2114","09468H"
"2115","08833X"
"2116","06393L"
"2117","05781G"
"2118","08618N"
"2119","02867X"
"2120","08926T"
"2121","02875H"
"2122","05638R"
"2123","02922T"
"2124","09168M"
"2125","08573F"
"2126","02127Y"
"2127","02029T"
"2128","08427M"
"2129","02702F"
"2130","08305D"
"2131","02590H"
"2132","08426L"
"2133","01559C"
"2134","09475Q"
"2135","09372G"
"2136","08882L"
"2137","09005Y"
"2138","09093N"
"2139","05753T"
"2140","08962Q"
"2141","08149X"
"2142","03363B"
"2143","06424D"
"2144","09075P"
"2145","06245Q"
"2146","09232X"
"2147","09214Y"
"2148","05553G"
"2149","08991F"
"2150","01029E"
"2151","07282G"
"2152","08153D"
"2153","01937Y"
"2154","08159K"
"2155","05786M"
"2156","02461M"
"2157","01821W"
"2158","08623W"
"2159","01528K"
"2160","01907J"
"2161","08537H"
"2162","05863N"
"2163","10111E"
"2164","08319W"
"2165","09070J"
"2166","08628D"
"2167","10049X"
"2168","08859G"
"2169","07301G"
"2170","01786B"
"2171","08822H"
"2172","01192R"
"2173","02763K"
"2174","01533Q"
"2175","02428T"
"2176","05773W"
"2177","02494G"
"2178","08078E"
"2179","03016R"
"2180","01375J"
"2181","02532G"
"2182","01356J"
"2183","06110N"
"2184","08946W"
"2185","01449G"
"2186","08755T"
"2187","05502N"
"2188","05298W"
"2189","09026C"
"2190","06406E"
"2191","02821L"
"2192","05768N"
"2193","05717X"
"2194","08229D"
"2195","10041L"
"2196","09187M"
"2197","02812B"
"2198","06389G"
"2199","09429G"
"2200","05558M"
"2201","03302T"
"2202","05930D"
"2203","05461K"
"2204","09499Y"
"2205","02435E"
"2206","08933E"
"2207","08533D"
"2208","02664F"
"2209","02587E"
"2210","08312L"
"2211","09248R"
"2212","08156G"
"2213","08596K"
"2214","02669L"
"2215","08663Y"
"2216","05403J"
"2217","09294E"
"2218","08532C"
"2219","09359N"
"2220","06501E"
"2221","05605B"
"2222","02802L"
"2223","08506Q"
"2224","09144G"
"2225","09374J"
"2226","01573T"
"2227","03036T"
"2228","05299X"
"2229","01464C"
"2230","02666H"
"2231","01884E"
"2232","02101N"
"2233","09710C"
"2234","02246F"
"2235","10146B"
"2236","08887R"
"2237","07235T"
"2238","10127B"
"2239","08600P"
"2240","01010E"
"2241","08019C"
"2242","05227D"
"2243","08718W"
"2244","02920Q"
"2245","05141N"
"2246","09299K"
"2247","06385C"
"2248","05977N"
"2249","09736K"
"2250","05535H"
"2251","02978R"
"2252","03131T"
"2253","06870N"
"2254","09692D"
"2255","02703G"
"2256","05813Y"
"2257","05432X"
"2258","08548X"
"2259","08998N"
"2260","05549C"
"2261","04403R"
"2262","05513E"
"2263","02093E"
"2264","08570C"
"2265","08023G"
"2266","09008D"
"2267","09189P"
"2268","05971G"
"2269","02481N"
"2270","08358X"
"2271","05533F"
"2272","05317W"
"2273","09367B"
"2274","05191F"
"2275","01526H"
"2276","08029N"
"2277","01100X"
"2278","08599N"
"2279","05240T"
"2280","05095E"
"2281","05071X"
"2282","06254E"
"2283","08010N"
"2284","08389M"
"2285","07246J"
"2286","08839F"
"2287","05831X"
"2288","00030N"
"2289","08949B"
"2290","08606Y"
"2291","00044H"
"2292","00013Q"
"2293","01595Y"
"2294","03424F"
"2295","08697R"
"2296","09550P"
"2297","01475P"
"2298","05430T"
"2299","01764W"
"2300","02319C"
"2301","06612B"
"2302","01099W"
"2303","05921P"
"2304","01433K"
"2305","01683N"
"2306","02522R"
"2307","08764G"
"2308","09698K"
"2309","05567B"
"2310","10140Q"
"2311","04361M"
"2312","05063L"
"2313","05774X"
"2314","01398N"
"2315","10134J"
"2316","02856H"
"2317","06868L"
"2318","10011X"
"2319","03028J"
"2320","02430X"
"2321","05735W"
"2322","05365J"
"2323","09649W"
"2324","02730Q"
"2325","04309T"
"2326","01586L"
"2327","06434P"
"2328","05016B"
"2329","02391W"
"2330","08765H"
"2331","02082N"
"2332","05061J"
"2333","03074T"
"2334","08740B"
"2335","09123E"
"2336","05145T"
"2337","10184B"
"2338","08565T"
"2339","09589Q"
"2340","09211T"
"2341","08161M"
"2342","05628F"
"2343","08276N"
"2344","01092L"
"2345","02175L"
"2346","06398R"
"2347","08869T"
"2348","05499K"
"2349","10152H"
"2350","10082P"
"2351","08654L"
"2352","02185B"
"2353","06636G"
"2354","01638F"
"2355","10083Q"
"2356","08695P"
"2357","02885W"
"2358","01330B"
"2359","04514N"
"2360","09348B"
"2361","09602J"
"2362","06138C"
"2363","08014T"
"2364","02034C"
"2365","06127L"
"2366","09311C"
"2367","08749L"
"2368","08825L"
"2369","08264Y"
"2370","05858H"
"2371","02642C"
"2372","08560M"
"2373","06388F"
"2374","03038X"
"2375","03410L"
"2376","03050M"
"2377","05346J"
"2378","05448R"
"2379","09079W"
"2380","08380C"
"2381","05627E"
"2382","07055H"
"2383","09689Y"
"2384","02181T"
"2385","02334W"
"2386","08637N"
"2387","01734G"
"2388","08340Y"
"2389","05958N"
"2390","08983T"
"2391","02352T"
"2392","09012H"
"2393","05442K"
"2394","05914G"
"2395","01008C"
"2396","07229L"
"2397","05482M"
"2398","08399C"
"2399","05515G"
"2400","08981Q"
"2401","01815M"
"2402","02791X"
"2403","09426D"
"2404","08397Y"
"2405","09313E"
"2406","06199G"
"2407","09443B"
"2408","08834Y"
"2409","00023F"
"2410","02380G"
"2411","05337X"
"2412","01195X"
"2413","04437M"
"2414","05797D"
"2415","00063H"
"2416","02492E"
"2417","09159C"
"2418","01639G"
"2419","08979N"
"2420","02610J"
"2421","05260W"
"2422","02750R"
"2423","10119N"
"2424","08474B"
"2425","06328C"
"2426","01269T"
"2427","05992J"
"2428","08800E"
"2429","08462J"
"2430","09482C"
"2431","05939N"
"2432","09295F"
"2433","08696Q"
"2434","05635N"
"2435","05876G"
"2436","05867T"
"2437","05716W"
"2438","02308L"
"2439","08376W"
"2440","07264H"
"2441","02283E"
"2442","10002K"
"2443","08586X"
"2444","08602R"
"2445","01393H"
"2446","01636D"
"2447","09714G"
"2448","02446R"
"2449","09508K"
"2450","01127H"
"2451","02530E"
"2452","06436R"
"2453","09706W"
"2454","05422J"
"2455","03066J"
"2456","09578D"
"2457","01640H"
"2458","08201P"
"2459","07281F"
"2460","08049P"
"2461","01849H"
"2462","01467F"
"2463","06279L"
"2464","06358P"
"2465","03027H"
"2466","01158Y"
"2467","08408M"
"2468","08675N"
"2469","05258R"
"2470","08176H"
"2471","03383C"
"2472","01616C"
"2473","05232J"
"2474","09035M"
"2475","02209G"
"2476","08863L"
"2477","08939L"
"2478","01751E"
"2479","02744K"
"2480","02427R"
"2481","01350C"
"2482","08345F"
"2483","09366Y"
"2484","05312N"
"2485","08598M"
"2486","08071T"
"2487","09625N"
"2488","09155W"
"2489","01906H"
"2490","08337T"
"2491","02257T"
"2492","02898M"
"2493","02161R"
"2494","09289X"
"2495","09461Y"
"2496","06286W"
"2497","05616N"
"2498","08646C"
"2499","08681X"
"2500","02783L"
"2501","08924Q"
"2502","09707X"
"2503","02507Y"
"2504","09701N"
"2505","01400Q"
"2506","02849Y"
"2507","06566N"
"2508","03106L"
"2509","08056B"
"2510","08515E"
"2511","08796Y"
"2512","09014K"
"2513","05097G"
"2514","08417B"
"2515","02117K"
"2516","08371N"
"2517","08298R"
"2518","09128K"
"2519","05500L"
"2520","07079N"
"2521","03012M"
"2522","01527J"
"2523","05909B"
"2524","04312Y"
"2525","10107Y"
"2526","01706T"
"2527","08301X"
"2528","09582H"
"2529","05869X"
"2530","08367J"
"2531","04360L"
"2532","06562J"
"2533","06499C"
"2534","04364Q"
"2535","05769P"
"2536","05038E"
"2537","10069Y"
"2538","02636R"
"2539","09091L"
"2540","05756Y"
"2541","08711L"
"2542","08387K"
"2543","01258F"
"2544","05288H"
"2545","01456P"
"2546","09117W"
"2547","08421F"
"2548","02939Q"
"2549","08315P"
"2550","02240X"
"2551","09369D"
"2552","09293D"
"2553","01623K"
"2554","08011P"
"2555","05632K"
"2556","09040T"
"2557","01886G"
"2558","05999R"
"2559","09495R"
"2560","05864P"
"2561","01752F"
"2562","05474D"
"2563","02531F"
"2564","05263B"
"2565","02943X"
"2566","08362D"
"2567","08662X"
"2568","05530C"
"2569","08721B"
"2570","05110Y"
"2571","08778B"
"2572","01696G"
"2573","06390H"
"2574","09409F"
"2575","10157N"
"2576","05205Y"
"2577","01508J"
"2578","09444C"
"2579","08100H"
"2580","03403D"
"2581","05477G"
"2582","01708X"
"2583","05518K"
"2584","09303P"
"2585","05274N"
"2586","03442E"
"2587","08884N"
"2588","05887W"
"2589","05564W"
"2590","09264N"
"2591","08966X"
"2592","05728L"
"2593","08429P"
"2594","02245E"
"2595","08685D"
"2596","02142R"
"2597","02130D"
"2598","02691P"
"2599","02785N"
"2600","08704D"
"2601","09454N"
"2602","02990J"
"2603","01322N"
"2604","05748M"
"2605","08054X"
"2606","06504H"
"2607","01583H"
"2608","05788P"
"2609","09711D"
"2610","01757L"
"2611","02174K"
"2612","01648R"
"2613","05290K"
"2614","08066M"
"2615","08819E"
"2616","05906W"
"2617","05347K"
"2618","08393R"
"2619","02294R"
"2620","09574X"
"2621","07064T"
"2622","08786K"
"2623","10133H"
"2624","03059B"
"2625","09435N"
"2626","08558K"
"2627","03316M"
"2628","02537M"
"2629","08578L"
"2630","05123P"
"2631","08001D"
"2632","08612G"
"2633","01703P"
"2634","01390E"
"2635","01478T"
"2636","09655E"
"2637","02851C"
"2638","01773H"
"2639","01596B"
"2640","08147T"
"2641","06125J"
"2642","09645P"
"2643","02796E"
"2644","01459T"
"2645","01080W"
"2646","09122D"
"2647","06840B"
"2648","07087B"
"2649","08043H"
"2650","01789E"
"2651","06423C"
"2652","09680L"
"2653","08444K"
"2654","02415D"
"2655","01027C"
"2656","09219F"
"2657","09138Y"
"2658","05293N"
"2659","07902X"
"2660","02598R"
"2661","05626D"
"2662","04725Q"
"2663","01585K"
"2664","09190Q"
"2665","01693D"
"2666","05777C"
"2667","01484D"
"2668","08855C"
"2669","04443W"
"2670","08788M"
"2671","10042M"
"2672","03389J"
"2673","02180R"
"2674","08664B"
"2675","09371F"
"2676","01115Q"
"2677","05618Q"
"2678","10200W"
"2679","07230M"
"2680","02544X"
"2681","01102B"
"2682","08597L"
"2683","01894Q"
"2684","09538B"
"2685","05269H"
"2686","01368B"
"2687","01497T"
"2688","01031G"
"2689","02001H"
"2690","02100M"
"2691","06443D"
"2692","09330C"
"2693","06837W"
"2694","08076C"
"2695","08747J"
"2696","08650G"
"2697","08151B"
"2698","08694N"
"2699","01702N"
"2700","09019Q"
"2701","08641T"
"2702","03053Q"
"2703","10015D"
"2704","08085M"
"2705","06702R"
"2706","02860M"
"2707","04615X"
"2708","08125P"
"2709","06498B"
"2710","05727K"
"2711","01415L"
"2712","04618C"
"2713","05463M"
"2714","02325J"
"2715","05075D"
"2716","05458G"
"2717","05830W"
"2718","02894H"
"2719","03192B"
"2720","05475E"
"2721","03306B"
"2722","03133X"
"2723","08267D"
"2724","08257N"
"2725","02015C"
"2726","02438H"
"2727","08238N"
"2728","05702D"
"2729","02055E"
"2730","09504F"
"2731","05045M"
"2732","10156M"
"2733","10062N"
"2734","03317N"
"2735","05351P"
"2736","02556M"
"2737","09463C"
"2738","10076H"
"2739","09554W"
"2740","01224K"
"2741","02899N"
"2742","09630W"
"2743","05856F"
"2744","08972F"
"2745","01441W"
"2746","02416E"
"2747","09731E"
"2748","05090X"
"2749","02603B"
"2750","08484M"
"2751","08077D"
"2752","05396B"
"2753","05335T"
"2754","10199T"
"2755","08055Y"
"2756","02228G"
"2757","08849R"
"2758","01663M"
"2759","01797N"
"2760","01687T"
"2761","08879H"
"2762","02146Y"
"2763","01762R"
"2764","10144X"
"2765","07643G"
"2766","01658G"
"2767","07251P"
"2768","06363X"
"2769","08525Q"
"2770","08829Q"
"2771","08824K"
"2772","05614L"
"2773","05734T"
"2774","06701Q"
"2775","09027D"
"2776","09291B"
"2777","06531R"
"2778","05603X"
"2779","01228P"
"2780","01326T"
"2781","06425E"
"2782","05604Y"
"2783","03319Q"
"2784","05885R"
"2785","04600D"
"2786","06272D"
"2787","10103R"
"2788","02752W"
"2789","08708H"
"2790","09100Y"
"2791","01279H"
"2792","09419R"
"2793","10080M"
"2794","10038H"
"2795","09198D"
"2796","02011W"
"2797","09084D"
"2798","01545H"
"2799","03116B"
"2800","01771F"
"2801","08692L"
"2802","08034W"
"2803","02148C"
"2804","01711C"
"2805","08872Y"
"2806","04451G"
"2807","09032J"
"2808","02267H"
"2809","05586B"
"2810","01505F"
"2811","02727M"
"2812","01357K"
"2813","05633L"
"2814","05584X"
"2815","08771P"
"2816","05903Q"
"2817","08385H"
"2818","09373H"
"2819","09735J"
"2820","02341F"
"2821","01174T"
"2822","08375T"
"2823","09002T"
"2824","01243K"
"2825","08858F"
"2826","09437Q"
"2827","03411M"
"2828","08531B"
"2829","07270P"
"2830","01939C"
"2831","06731G"
"2832","02960T"
"2833","08225X"
"2834","06871P"
"2835","09247Q"
"2836","05639T"
"2837","03199J"
"2838","09551Q"
"2839","10118M"
"2840","02012X"
"2841","01805B"
"2842","01042W"
"2843","08123M"
"2844","05156J"
"2845","08185T"
"2846","09186L"
"2847","05428Q"
"2848","07225G"
"2849","04619D"
"2850","01391F"
"2851","05052X"
"2852","09134R"
"2853","05843M"
"2854","08152C"
"2855","08282X"
"2856","03094W"
"2857","06707B"
"2858","05406M"
"2859","08542N"
"2860","08536G"
"2861","08857E"
"2862","08784H"
"2863","09336J"
"2864","09403X"
"2865","05267F"
"2866","09539C"
"2867","10091D"
"2868","02614N"
"2869","08901L"
"2870","05336W"
"2871","05411T"
"2872","05835D"
"2873","08582Q"
"2874","08561N"
"2875","02265F"
"2876","09601H"
"2877","10168E"
"2878","08847P"
"2879","05246D"
"2880","07502W"
"2881","08033T"
"2882","08727H"
"2883","05424L"
"2884","09432K"
"2885","03412N"
"2886","02769R"
"2887","02417F"
"2888","09640J"
"2889","08657P"
"2890","08262W"
"2891","05459H"
"2892","03338Q"
"2893","09566L"
"2894","02099L"
"2895","05164T"
"2896","08652J"
"2897","01571Q"
"2898","01024X"
"2899","05157K"
"2900","08214H"
"2901","09743T"
"2902","09081Y"
"2903","02584B"
"2904","05024K"
"2905","06248W"
"2906","09152Q"
"2907","08191D"
"2908","09288W"
"2909","08220P"
"2910","02419H"
"2911","08846N"
"2912","08615K"
"2913","03119E"
"2914","05372R"
"2915","07567G"
"2916","09545J"
"2917","09708Y"
"2918","09278H"
"2919","01929M"
"2920","01323P"
"2921","02880N"
"2922","02870C"
"2923","05348L"
"2924","08169Y"
"2925","05399E"
"2926","09191R"
"2927","02888B"
"2928","01463B"
"2929","01698J"
"2930","05995M"
"2931","05945X"
"2932","05744H"
"2933","05969E"
"2934","08420E"
"2935","01880Y"
"2936","08064K"
"2937","08844L"
"2938","09089J"
"2939","03090P"
"2940","09546K"
"2941","08472X"
"2942","05484P"
"2943","10148D"
"2944","03161J"
"2945","05197M"
"2946","05990G"
"2947","01795L"
"2948","05960Q"
"2949","09139B"
"2950","03437X"
"2951","03405F"
"2952","05656Q"
"2953","05393W"
"2954","02962X"
"2955","09066E"
"2956","01518X"
"2957","08614J"
"2958","08594H"
"2959","05159M"
"2960","05606C"
"2961","09059T"
"2962","09524G"
"2963","06441B"
"2964","08961P"
"2965","08814X"
"2966","08625Y"
"2967","02063N"
"2968","05057E"
"2969","01249R"
"2970","09277G"
"2971","05916J"
"2972","08643X"
"2973","08425K"
"2974","09696H"
"2975","08562P"
"2976","06360R"
"2977","06911R"
"2978","10008R"
"2979","02070Y"
"2980","02096H"
"2981","05033X"
"2982","05405L"
"2983","05907X"
"2984","02138M"
"2985","08026K"
"2986","01313D"
"2987","05759D"
"2988","01922E"
"2989","05356X"
"2990","09102C"
"2991","05212H"
"2992","08126Q"
"2993","09062Y"
"2994","05163R"
"2995","05326H"
"2996","05494E"
"2997","06331F"
"2998","05911D"
"2999","06109M"
"3000","05651K"
"3001","05465P"
"3002","05479J"
"3003","01588N"
"3004","05196L"
"3005","05848T"
"3006","09029F"
"3007","09322P"
"3008","04617B"
"3009","08163P"
"3010","02198Q"
"3011","09540D"
"3012","02665G"
"3013","01819R"
"3014","09478W"
"3015","05548B"
"3016","05610G"
"3017","02773Y"
"3018","08724E"
"3019","06217F"
"3020","05363G"
"3021","02641B"
"3022","01248Q"
"3023","05964X"
"3024","02557N"
"3025","09258G"
"3026","01970Q"
"3027","01252X"
"3028","02825Q"
"3029","09644N"
"3030","02488Y"
"3031","09388D"
"3032","09135T"
"3033","08015W"
"3034","02058H"
"3035","05970F"
"3036","09672C"
"3037","09596C"
"3038","08269F"
"3039","10005N"
"3040","03421C"
"3041","10205D"
"3042","02388Q"
"3043","01499X"
"3044","08906R"
"3045","01404X"
"3046","08050Q"
"3047","09385Y"
"3048","01653B"
"3049","06343W"
"3050","08493B"
"3051","10034D"
"3052","02882Q"
"3053","08644Y"
"3054","09678J"
"3055","04394G"
"3056","08422G"
"3057","05973J"
"3058","08955H"
"3059","06596E"
"3060","05721D"
"3061","08735R"
"3062","10170G"
"3063","08513C"
"3064","01090J"
"3065","09590R"
"3066","07274W"
"3067","09605M"
"3068","05043K"
"3069","02482P"
"3070","05109X"
"3071","05776B"
"3072","05778D"
"3073","05554H"
"3074","05358B"
"3075","09246P"
"3076","01787C"
"3077","08620Q"
"3078","01862B"
"3079","06641M"
"3080","09329B"
"3081","05706H"
"3082","02242B"
"3083","08738X"
"3084","09325T"
"3085","09129L"
"3086","05455D"
"3087","05622X"
"3088","05471Y"
"3089","01060T"
"3090","10033C"
"3091","08133C"
"3092","01582G"
"3093","06207Q"
"3094","02734X"
"3095","08069Q"
"3096","08359Y"
"3097","10064Q"
"3098","08813W"
"3099","05385K"
"3100","08975J"
"3101","01418P"
"3102","01842Y"
"3103","01454M"
"3104","02123R"
"3105","08838E"
"3106","08757X"
"3107","08382E"
"3108","00040D"
"3109","02966D"
"3110","05722E"
"3111","01165H"
"3112","08805K"
"3113","05625C"
"3114","08518H"
"3115","09006B"
"3116","01358L"
"3117","08032R"
"3118","08733P"
"3119","09063B"
"3120","05883P"
"3121","05889Y"
"3122","08754R"
"3123","10162W"
"3124","09220G"
"3125","09658H"
"3126","01525G"
"3127","08583R"
"3128","09083C"
"3129","08016X"
"3130","01319K"
"3131","08587Y"
"3132","01948M"
"3133","10124W"
"3134","03062E"
"3135","09115R"
"3136","04429D"
"3137","10025P"
"3138","01208N"
"3139","09469J"
"3140","09227P"
"3141","02035D"
"3142","05552F"
"3143","05790R"
"3144","08622T"
"3145","02166B"
"3146","05986C"
"3147","06635F"
"3148","08541M"
"3149","08443J"
"3150","02272N"
"3151","05978P"
"3152","07050C"
"3153","09636E"
"3154","05793X"
"3155","02554K"
"3156","05918L"
"3157","06283Q"
"3158","09382T"
"3159","05767M"
"3160","02338C"
"3161","06708C"
"3162","02813C"
"3163","09511N"
"3164","01157X"
"3165","02746M"
"3166","05368M"
"3167","09058R"
"3168","10043N"
"3169","03309E"
"3170","05466Q"
"3171","09210R"
"3172","01828F"
"3173","06877Y"
"3174","08171C"
"3175","09283N"
"3176","01426C"
"3177","02728N"
"3178","09427E"
"3179","08957K"
"3180","02855G"
"3181","08710K"
"3182","05340C"
