"","pbs_code","drug_name","form_strength","atc_code","inuse","form_type","adm_route","final_unit","unit_wt_mg","unit_wt_g","unit_wt_ml","uadm_route"
"161","05730N","EPOETIN BETA","injection 20,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"162","05759D","INTERFERON ALFA-2A","injection 3,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"163","05763H","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"164","05764J","INTERFERON ALFA-2B","solution for injection 30,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"165","05765K","INTERFERON ALFA-2B","solution for injection 60,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"166","05766L","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 3 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"167","05767M","INTERFERON ALFA-2B","solution for injection 25,000,000 i.u. in 2.5 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"168","05768N","INTERFERON ALFA-2B","solution for injection 10,000,000 i.u. in 1 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"169","05769P","INTERFERON GAMMA-1B","injection 2,000,000 i.u. in 0.5 ml","L03AB03","Y","injection","P",NA,NA,NA,NA,"P"
"170","05771R","LAMIVUDINE","oral solution 5 mg per ml, 240 ml","J05AF05","Y","oral","O",5,5,NA,"per ml, 240 ml","O"
"171","05773W","LAMIVUDINE","oral solution 10 mg per ml, 240 ml","J05AF05","Y","oral","O",10,10,NA,"per ml, 240 ml","O"
"172","05789Q","LOPINAVIR + RITONAVIR","oral liquid 400 mg-100 mg per 5 ml, 60 ml","J05AR10","Y","oral","O",400,400,NA,"per 5 ml, 60 ml","O"
"173","05848T","ONDANSETRON","syrup 4 mg (as hydrochloride dihydrate) per 5 ml, 50 ml","A04AA01","Y","syrup","O",4,4,NA,"per 5 ml, 50 ml","O"
"174","05893E","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"175","05901N","BACILLUS CALMETTE and GUERIN-CONNAUGHT STRAIN","powder for intravesical administration containing 6.6 to 19.2 x 10{sup}8{/sup} cfu","L03AX03","Y","intravesical","Intravesical",NA,NA,NA,NA,"Intravesical"
"176","05902P","BACILLUS CALMETTE and GUERIN-TICE STRAIN","vial containing powder for intravesical administration approximately 5 x 10{sup}8{/sup} cfu","L03AX03","Y","intravesical","Intravesical",NA,NA,NA,NA,"Intravesical"
"177","05945X","INTERFERON ALFA-2A","injection 3,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"178","05946Y","INTERFERON ALFA-2A","injection 3,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"179","05953H","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"180","05956L","INTERFERON ALFA-2B","solution for injection 30,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"181","06125J","CYCLOSPORIN","oral liquid 100 mg per ml, 50 ml","L04AD01","Y","oral","O",100,100,NA,"per ml, 50 ml","O"
"182","06134W","FOSCARNET","i.v. infusion containing foscarnet sodium 24 mg per ml, 250 ml","J05AD01","Y","i.v.","P",24,24,NA,"per ml, 250 ml","P"
"183","06148N","INTERFERON GAMMA-1B","injection 2,000,000 i.u. in 0.5 ml","L03AB03","Y","injection","P",NA,NA,NA,NA,"P"
"184","06204M","EPOETIN ALFA","injection 2,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"185","06205N","EPOETIN ALFA","injection 3,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"186","06206P","EPOETIN ALFA","injection 4,000 units in 0.4 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"187","06207Q","EPOETIN ALFA","injection 10,000 units in 1 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"188","06210W","INTERFERON ALFA-2A","injection 3,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"189","06211X","INTERFERON ALFA-2A","injection 4,500,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"190","06212Y","INTERFERON ALFA-2A","injection 6,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"191","06218G","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 3 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"192","06219H","INTERFERON ALFA-2B","solution for injection 25,000,000 i.u. in 2.5 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"193","06245Q","INTERFERON ALFA-2B","solution for injection 5,000,000 i.u. in 0.5 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"194","06246R","INTERFERON ALFA-2B","solution for injection 10,000,000 i.u. in 1 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"195","06253D","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"196","06254E","INTERFERON ALFA-2B","solution for injection 30,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"197","06255F","INTERFERON ALFA-2B","solution for injection 60,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"198","06302Q","EPOETIN ALFA","injection 5,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"199","06303R","EPOETIN ALFA","injection 6,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"200","06305W","EPOETIN ALFA","injection 8,000 units in 0.8 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"201","06339P","EPOETIN ALFA","injection 40,000 units in 1 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"202","06434P","EPOETIN ALFA","injection 20,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"203","06480C","EPOETIN BETA","injection 2,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"204","06481D","EPOETIN BETA","injection 3,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"205","06482E","EPOETIN BETA","injection 4,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"206","06483F","EPOETIN BETA","injection 5,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"207","06484G","EPOETIN BETA","injection 6,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"208","06485H","EPOETIN BETA","injection 10,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"209","06486J","EPOETIN BETA","injection 20,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"210","07530H","CODEINE","codeine linct  100ml","R05DA04","Y","UNKNOWN","UNKNOWN",NA,NA,NA,NA,"UNKNOWN"
"211","08006J","INSULIN ISOPHANE HUMAN + INSULIN NEUTRAL HUMAN","injections (human), cartridges, 20 units-80 units per ml, 3 ml, 5","A10AD01","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"212","08031Q","DESMOPRESSIN","nasal spray (pump pack) 10 mg per actuation, 50 actuations, 5 ml","H01BA02","Y","nasal","N",10,10,NA,"per actuation, 50 actuations, 5 ml","N"
"213","08032R","DESMOPRESSIN","nasal spray (pump pack) 10 mg per actuation, 50 actuations, 5 ml","H01BA02","Y","nasal","N",10,10,NA,"per actuation, 50 actuations, 5 ml","N"
"214","08084L","INSULIN LISPRO","injection (human analogue) 100 units per ml, 10 ml vial","A10AB04","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"215","08085M","INSULIN LISPRO","injections (human analogue), cartridges, 100 units per ml, 1.5 ml, 5","A10AB04","Y","injection","P",NA,NA,NA,"per ml, 1.5 ml","P"
"216","08096D","THIORIDAZINE","oral suspension 10 mg per ml, 500 ml","N05AC02","Y","oral","O",10,10,NA,"per ml, 500 ml","O"
"217","08100H","RISPERIDONE","oral solution 1 mg per ml, 100 ml","N05AX08","Y","oral","O",1,1,NA,"per ml, 100 ml","O"
"218","08161M","RANITIDINE","syrup equivalent to 150 mg ranitidine per 10 ml, 300 ml","A02BA02","Y","syrup","O",150,150,NA,"per 10 ml, 300 ml","O"
"219","08162N","RANITIDINE","syrup 150 mg (as hydrochloride) per 10 ml, 300 ml","A02BA02","Y","syrup","O",150,150,NA,"per 10 ml, 300 ml","O"
"220","08180M","INTERFERON ALFA-2A","injection 3,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"221","08181N","INTERFERON ALFA-2A","injection 3,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"222","08182P","INTERFERON ALFA-2A","injection 4,500,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"223","08183Q","INTERFERON ALFA-2A","injection 6,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"224","08201P","AZITHROMYCIN","powder for oral suspension 200 mg (as dihydrate) per 5 ml, 15 ml","J01FA10","Y","oral","O",200,200,NA,"per 5 ml, 15 ml","O"
"225","08212F","INSULIN LISPRO","injections (human analogue), cartridges, 100 units per ml, 3 ml, 5","A10AB04","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"226","08233H","ONDANSETRON","syrup 4 mg (as hydrochloride dihydrate) per 5 ml, 50 ml","A04AA01","Y","syrup","O",4,4,NA,"per 5 ml, 50 ml","O"
"227","08251G","FOLLITROPIN ALFA","injection set containing 10 ampoules powder for injection 75 i.u. and 10 ampoules solvent 1 ml","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"228","08252H","FOLLITROPIN ALFA","injection set containing 10 ampoules powder for injection 150 i.u. and 10 ampoules solvent 1 ml","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"229","08253J","RETEPLASE","pack containing 2 vials powder for injection 10 units, 2 single use pre-filled syringes with solvent, 2 reconstitution spikes and 2 needles","B01AD07","Y","injection","P",NA,NA,NA,NA,"P"
"230","08269F","DALTEPARIN SODIUM","injection containing dalteparin sodium 10,000 i.u. (anti-xa) in 1 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"231","08271H","DALTEPARIN SODIUM","injection containing dalteparin sodium 7,500 i.u. (anti-xa) in 0.75 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"232","08276N","INTERFERON ALFA-2B","solution for injection 3,000,000 i.u. in 0.5 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"233","08277P","INTERFERON ALFA-2B","solution for injection 5,000,000 i.u. in 0.5 ml single dose vial","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"234","08285C","PREDNISOLONE SODIUM PHOSPHATE","oral solution 5 mg (as sodium phosphate) per ml, 30 ml","H02AB06","Y","oral","O",5,5,NA,"per ml, 30 ml","O"
"235","08300W","ATOVAQUONE","oral suspension 750 mg per 5 ml, 210 ml","P01AX06","Y","oral","O",750,750,NA,"per 5 ml, 210 ml","O"
"236","08319W","AMOXYCILLIN + CLAVULANIC ACID","powder for oral suspension containing 400 mg amoxycillin (as trihydrate) with 57 mg clavulanic acid (as potassium clavulanate) per 5 ml, 60 ml","J01CR02","Y","oral","O",400,400,NA,"per 5 ml, 60 ml","O"
"237","08348J","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"238","08390N","INSULIN LISPRO + INSULIN LISPRO PROTAMINE","injections (human analogue), cartridges, 25 units-75 units per ml, 3 ml, 5","A10AD04","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"239","08424J","HYDROMORPHONE","oral liquid containing hydromorphone hydrochloride 1 mg per ml, 473 ml","N02AA03","Y","oral","O",1,1,NA,"per ml, 473 ml","O"
"240","08435Y","INSULIN ASPART","injections (human analogue), cartridges, 100 units per ml, 3 ml, 5","A10AB05","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"241","08436B","FOLLITROPIN BETA","solution for injection 50 i.u. in 0.5 ml single use vial","G03GA06","Y","injection","P",NA,NA,NA,NA,"P"
"242","08437C","FOLLITROPIN BETA","solution for injection 100 i.u. in 0.5 ml single use vial","G03GA06","Y","injection","P",NA,NA,NA,NA,"P"
"243","08438D","FOLLITROPIN BETA","solution for injection 150 i.u. in 0.5 ml single use vial","G03GA06","Y","injection","P",NA,NA,NA,NA,"P"
"244","08473Y","ROFECOXIB","oral suspension 12.5 mg per 5 ml, 150 ml","M01AH02","Y","oral","O",12.5,12.5,NA,"per 5 ml, 150 ml","O"
"245","08474B","ROFECOXIB","oral suspension 25 mg per 5 ml, 150 ml","M01AH02","Y","oral","O",25,25,NA,"per 5 ml, 150 ml","O"
"246","08476D","INTERFERON ALFA-2B","solution for injection 30,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"247","08483L","BRINZOLAMIDE","eye drops 10 mg per ml, 5 ml","S01EC04","Y","eye drops","P",10,10,NA,"per ml, 5 ml","P"
"248","08488R","DORZOLAMIDE","eye drops 20 mg (as hydrochloride) per ml, 5 ml","S01EC03","Y","eye drops","P",20,20,NA,"per ml, 5 ml","P"
"249","08551C","INTERFERON ALFA-2A","injection 4,500,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"250","08552D","INTERFERON ALFA-2A","injection 6,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"251","08553E","INTERFERON ALFA-2A","injection 9,000,000 i.u. in 0.5 ml single dose pre-filled syringe","L03AB04","Y","injection","P",NA,NA,NA,NA,"P"
"252","08563Q","RIVASTIGMINE","oral solution 2 mg (as hydrogen tartrate) per ml, 120 ml","N06DA03","Y","oral","O",2,2,NA,"per ml, 120 ml","O"
"253","08565T","FOLLITROPIN BETA","solution for injection 300 i.u. in 0.36 ml multi-dose cartridge","G03GA06","Y","injection","P",NA,NA,NA,NA,"P"
"254","08566W","FOLLITROPIN BETA","solution for injection 600 i.u. in 0.72 ml multi-dose cartridge","G03GA06","Y","injection","P",NA,NA,NA,NA,"P"
"255","08568Y","BENZYDAMINE + CHLORHEXIDINE","mouth and throat rinse 22.5 mg-18 mg per 15 ml, 500 ml","A01AD02","Y","mouth","O",22.5,22.5,NA,"per 15 ml, 500 ml","O"
"256","08571D","INSULIN ASPART","injection (human analogue) 100 units per ml, 10 ml vial","A10AB05","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"257","08572E","INTERFERON ALFA-2B","solution for injection 18,000,000 i.u. in 1.2 ml multi-dose injection pen","L03AB05","Y","injection","P",NA,NA,NA,NA,"P"
"258","08651H","MYCOPHENOLATE","powder for oral suspension containing mycophenolate mofetil 1 g per 5 ml, 165 ml","L04AA06","Y","oral","O",1000,NA,1,"per 5 ml, 165 ml","O"
"259","08588B","OXCARBAZEPINE","oral suspension 60 mg per ml, 250 ml","N03AF02","Y","oral","O",60,60,NA,"per ml, 250 ml","O"
"260","08602R","FOLLITROPIN ALFA","injection set containing 1 vial powder for injection 1,200 i.u. and 2 ml solvent in pre-filled syringe","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"261","08603T","DALTEPARIN SODIUM","injection containing dalteparin sodium 2,500 i.u. (anti-xa) in 0.2 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"262","08641T","DALTEPARIN SODIUM","injection containing dalteparin sodium 2,500 i.u. (anti-xa) in 0.2 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"263","08642W","DALTEPARIN SODIUM","injection containing dalteparin sodium 5,000 i.u. (anti-xa) in 0.2 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"264","08643X","DALTEPARIN SODIUM","injection containing dalteparin sodium 7,500 i.u. (anti-xa) in 0.75 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"265","08644Y","OXYCODONE","oral solution containing oxycodone hydrochloride 5 mg per 5 ml, 250 ml","N02AA05","Y","oral","O",5,5,NA,"per 5 ml, 250 ml","O"
"266","08645B","OESTRADIOL","nasal spray containing oestradiol hemihydrate 150 mg per actuation, 60 actuations, 4.2 ml","G03CA03","Y","nasal","N",150,150,NA,"per actuation, 60 actuations, 4.2 ml","N"
"267","08725F","SIROLIMUS","oral solution 1 mg per ml, 60 ml","L04AA10","Y","oral","O",1,1,NA,"per ml, 60 ml","O"
"268","08661W","CYCLOSPORIN","oral liquid 100 mg per ml, 50 ml","L04AD01","Y","oral","O",100,100,NA,"per ml, 50 ml","O"
"269","08672K","FOLLITROPIN ALFA","injection set containing 1 vial powder for injection 75 i.u. and 1 pre-filled syringe solvent 1 ml","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"270","08673L","FOLLITROPIN ALFA","injection set containing 10 vials powder for injection 75 i.u. and 10 pre-filled syringes solvent 1 ml","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"271","08674M","FOLLITROPIN ALFA","injection set containing 1 vial powder for injection 1,050 i.u. and 1 pre-filled syringe solvent 2 ml","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"272","08675N","FOLLITROPIN ALFA","injection set containing 1 vial powder for injection 450 i.u. and 1 pre-filled syringe solvent 1 ml","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"273","08705E","AMOXYCILLIN","powder for oral suspension 500 mg (as trihydrate) per 5 ml, 100 ml","J01CA04","Y","oral","O",500,500,NA,"per 5 ml, 100 ml","O"
"274","08711L","DESMOPRESSIN","nasal spray (pump pack) containing desmopressin acetate 10 mg per actuation, 60 actuations, 6 ml","H01BA02","Y","nasal","N",10,10,NA,"per actuation, 60 actuations, 6 ml","N"
"275","08712M","DESMOPRESSIN","nasal spray (pump pack) containing desmopressin acetate 10 mg per actuation, 60 actuations, 6 ml","H01BA02","Y","nasal","N",10,10,NA,"per actuation, 60 actuations, 6 ml","N"
"276","08713N","FOLLITROPIN ALFA","injection 300 i.u. in 0.5 ml multi-dose cartridge","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"277","08714P","FOLLITROPIN ALFA","injection 450 i.u. in 0.75 ml multi-dose cartridge","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"278","08715Q","FOLLITROPIN ALFA","injection 900 i.u. in 1.5 ml multi-dose cartridge","G03GA05","Y","injection","P",NA,NA,NA,NA,"P"
"279","08736T","AMISULPRIDE","oral solution 100 mg per ml, 60 ml","N05AL05","Y","oral","O",100,100,NA,"per ml, 60 ml","O"
"280","08747J","ACETYLCYSTEINE","inhalation solution 200 mg (as sodium) per ml, 5 ml","R05CB01","Y","inhalation","Inhal",200,200,NA,"per ml, 5 ml","Inhal"
"281","08760C","CAPTOPRIL","oral solution 5 mg per ml, 95 ml","C09AA01","Y","oral","O",5,5,NA,"per ml, 95 ml","O"
"282","08791Q","RISPERIDONE","oral solution 1 mg per ml, 30 ml","N05AX08","Y","oral","O",1,1,NA,"per ml, 30 ml","O"
"283","08815Y","FERROUS SULFATE","oral liquid 30 mg per ml, 250 ml","B03AA07","Y","oral","O",30,30,NA,"per ml, 250 ml","O"
"284","08843K","TRAMADOL","oral drops containing tramadol hydrochloride 100 mg per ml, 10 ml","N02AX02","Y","oral","O",100,100,NA,"per ml, 10 ml","O"
"285","08849R","ESCITALOPRAM","oral solution 10 mg (as oxalate) per ml, 28 ml","N06AB10","Y","oral","O",10,10,NA,"per ml, 28 ml","O"
"286","08871X","FOLLITROPIN BETA","solution for injection 900 i.u. in 1.08 ml multi-dose cartridge","G03GA06","Y","injection","P",NA,NA,NA,NA,"P"
"287","08874C","INSULIN LISPRO + INSULIN LISPRO PROTAMINE","injections (human analogue), cartridges, 50 units-50 units per ml, 3 ml, 5","A10AD04","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"288","08904P","RANITIDINE","syrup equivalent to 150 mg ranitidine per 10 ml, 300 ml","A02BA02","Y","syrup","O",150,150,NA,"per 10 ml, 300 ml","O"
"289","08905Q","RANITIDINE","syrup 150 mg (as hydrochloride) per 10 ml, 300 ml","A02BA02","Y","syrup","O",150,150,NA,"per 10 ml, 300 ml","O"
"290","08956J","DALTEPARIN SODIUM","injection containing dalteparin sodium 7,500 i.u. (anti-xa) in 0.75 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"291","08957K","DALTEPARIN SODIUM","injection containing dalteparin sodium 10,000 i.u. (anti-xa) in 1 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"292","08958L","DALTEPARIN SODIUM","injection containing dalteparin sodium 12,500 i.u. (anti-xa) in 0.5 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"293","08959M","DALTEPARIN SODIUM","injection containing dalteparin sodium 15,000 i.u. (anti-xa) in 0.6 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"294","08960N","DALTEPARIN SODIUM","injection containing dalteparin sodium 18,000 i.u. (anti-xa) in 0.72 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"295","08970D","LEVODOPA + CARBIDOPA ANHYDROUS","intestinal gel 20 mg-5 mg per ml, 100 ml","N04BA02","Y","UNKNOWN","UNKNOWN",20,20,NA,"per ml, 100 ml","UNKNOWN"
"296","08976K","PHENOXYMETHYLPENICILLIN","powder for oral liquid 125 mg (as potassium) per 5 ml, 100 ml","J01CE02","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"297","08977L","PHENOXYMETHYLPENICILLIN","powder for oral liquid 250 mg (as potassium) per 5 ml, 100 ml","J01CE02","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"298","09014K","MORPHINE","oral solution 1 mg per ml, 500 ml","N02AA01","Y","oral","O",1,1,NA,"per ml, 500 ml","O"
"299","09015L","MORPHINE","oral solution 5 mg per ml, 250 ml","N02AA01","Y","oral","O",5,5,NA,"per ml, 250 ml","O"
"300","09016M","MORPHINE","oral solution 5 mg per ml, 500 ml","N02AA01","Y","oral","O",5,5,NA,"per ml, 500 ml","O"
"301","09039R","INSULIN GLARGINE","injections (human analogue), cartridges, 100 units per ml, 3 ml, 5","A10AE04","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"302","09040T","INSULIN DETEMIR","injections (human analogue), cartridges, 100 units per ml, 3 ml, 5","A10AE05","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"303","09143F","PHENOXYMETHYLPENICILLIN","oral suspension 150 mg (as benzathine) per 5 ml, 100 ml","J01CE10","Y","oral","O",150,150,NA,"per 5 ml, 100 ml","O"
"304","09149M","FLUCLOXACILLIN","powder for oral liquid 125 mg (as sodium) per 5 ml, 100 ml","J01CF05","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"305","09150N","FLUCLOXACILLIN","powder for oral liquid 250 mg (as sodium) per 5 ml, 100 ml","J01CF05","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"306","09169N","LEVETIRACETAM","oral solution 100 mg per ml, 300 ml","N03AX14","Y","oral","O",100,100,NA,"per ml, 300 ml","O"
"307","09192T","CLARITHROMYCIN","powder for oral liquid 250 mg per 5 ml, 50 ml","J01FA09","Y","oral","O",250,250,NA,"per 5 ml, 50 ml","O"
"308","09224L","INSULIN GLULISINE","injection (human analogue) 100 units per ml, 10 ml","A10AB06","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"309","09293D","RISPERIDONE","oral solution 1 mg per ml, 100 ml","N05AX08","Y","oral","O",1,1,NA,"per ml, 100 ml","O"
"310","09360P","POSACONAZOLE","oral suspension 40 mg per ml, 105 ml","J02AC04","Y","oral","O",40,40,NA,"per ml, 105 ml","O"
"311","09411H","TERIPARATIDE","injection 250 mg per ml, 2.4 ml in multi-dose pre-filled pen","H05AA02","Y","injection","P",250,250,NA,"per ml, 2.4 ml","P"
"312","09441X","ONDANSETRON","syrup 4 mg (as hydrochloride dihydrate) per 5 ml, 50 ml","A04AA01","Y","syrup","O",4,4,NA,"per 5 ml, 50 ml","O"
"313","09452L","VORICONAZOLE","powder for oral suspension 40 mg per ml, 70 ml","J02AC03","Y","oral","O",40,40,NA,"per ml, 70 ml","O"
"314","09500B","MYCOPHENOLATE","powder for oral suspension containing mycophenolate mofetil 1 g per 5 ml, 165 ml","L04AA06","Y","oral","O",1000,NA,1,"per 5 ml, 165 ml","O"
"315","09507J","NEVIRAPINE","oral suspension 50 mg (as hemihydrate) per 5 ml, 240 ml","J05AG01","Y","oral","O",50,50,NA,"per 5 ml, 240 ml","O"
"316","09542F","RITONAVIR","oral solution 600 mg per 7.5 ml (80 mg per ml), 90 ml","J05AE03","Y","oral","O",600,600,NA,"per 7.5 ml (80 mg per ml), 90 ml","O"
"317","09550P","SIROLIMUS","oral solution 1 mg per ml, 60 ml","L04AA10","Y","oral","O",1,1,NA,"per ml, 60 ml","O"
"318","09570Q","ZIDOVUDINE","syrup 10 mg per ml, 200 ml","J05AF01","Y","syrup","O",10,10,NA,"per ml, 200 ml","O"
"319","09587N","EPOETIN LAMBDA","injection 4,000 units in 0.4 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"320","09589Q","EPOETIN LAMBDA","injection 5,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"321","09590R","EPOETIN LAMBDA","injection 6,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"322","09591T","EPOETIN LAMBDA","injection 6,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"323","09594Y","EPOETIN LAMBDA","injection 8,000 units in 0.8 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"324","09595B","EPOETIN LAMBDA","injection 10,000 units in 1 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"325","09596C","EPOETIN LAMBDA","injection 10,000 units in 1 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
