"atc";"atc_name";"ddd_factor";"units";"adm_route";"note";"ddd_mg_factor"
"N05AD06";"bromperidol";10.0000;"mg";"P";"N/A";10
"N05AD07";"benperidol";1.5000;"mg";"O";"N/A";1.5
"N05AD08";"droperidol";2.5000;"mg";"P";"N/A";2.5
"N05AE01";"oxypertine";0.1200;"g";"O";"N/A";120
"N05AE02";"molindone";50.0000;"mg";"O";"N/A";50
"N05AE03";"sertindole";16.0000;"mg";"O";"N/A";16
"N05AE04";"ziprasidone";80.0000;"mg";"O";"N/A";80
"N05AE04";"ziprasidone";40.0000;"mg";"P";"N/A";40
"N05AF01";"flupentixol";6.0000;"mg";"O";"N/A";6
"N05AF02";"clopenthixol";0.1000;"g";"O";"N/A";100
"N05AF02";"clopenthixol";0.1000;"g";"P";"N/A";100
"N05AF03";"chlorprothixene";0.3000;"g";"O";"N/A";300
"N05AF03";"chlorprothixene";50.0000;"mg";"P";"N/A";50
"N05AF04";"tiotixene";30.0000;"mg";"O";"N/A";30
"N05AF05";"zuclopenthixol";30.0000;"mg";"O";"N/A";30
"N05AF05";"zuclopenthixol";30.0000;"mg";"P";"N/A";30
"N05AG02";"pimozide";4.0000;"mg";"O";"N/A";4
"N05AG03";"penfluridol";6.0000;"mg";"O";"N/A";6
"N05AH01";"loxapine";9.1000;"mg";"Inhal.powder delivered dose";"N/A";9.1
"N05AH01";"loxapine";0.1000;"g";"O";"N/A";100
"N05AH02";"clozapine";0.3000;"g";"O";"N/A";300
"N05AH02";"clozapine";0.3000;"g";"P";"N/A";300
"N05AH03";"olanzapine";10.0000;"mg";"O";"N/A";10
"N05AH03";"olanzapine";10.0000;"mg";"P";"N/A";10
"N05AH04";"quetiapine";0.4000;"g";"O";"N/A";400
"N05AH05";"asenapine";20.0000;"mg";"O";"N/A";20
"N05AH06";"clotiapine";80.0000;"mg";"O";"N/A";80
"N05AH06";"clotiapine";80.0000;"mg";"P";"N/A";80
"N05AL01";"sulpiride";0.8000;"g";"O";"N/A";800
"N05AL01";"sulpiride";0.8000;"g";"P";"N/A";800
"N05AL02";"sultopride";1.2000;"g";"O";"N/A";1200
"N05AL03";"tiapride";0.4000;"g";"O";"N/A";400
"N05AL03";"tiapride";0.4000;"g";"P";"N/A";400
"N05AL04";"remoxipride";0.3000;"g";"O";"N/A";300
"N05AL04";"remoxipride";0.3000;"g";"P";"N/A";300
"N05AL05";"amisulpride";0.4000;"g";"O";"N/A";400
"N05AL07";"levosulpiride";0.4000;"g";"O";"N/A";400
"N05AN01";"lithium";24.0000;"mmol";"O";"N/A";
"N05AX07";"prothipendyl";0.2400;"g";"O";"N/A";240
"N05AX07";"prothipendyl";0.2400;"g";"P";"N/A";240
"N05AX08";"risperidone";5.0000;"mg";"O";"N/A";5
"N05AX11";"zotepine";0.2000;"g";"O";"N/A";200
"N05AX12";"aripiprazole";15.0000;"mg";"O";"N/A";15
"N05AX12";"aripiprazole";15.0000;"mg";"P";"N/A";15
"N05AX13";"paliperidone";6.0000;"mg";"O";"N/A";6
"N05AX14";"iloperidone";18.0000;"mg";"O";"N/A";18
"N05BA01";"diazepam";10.0000;"mg";"O";"N/A";10
"N05BA01";"diazepam";10.0000;"mg";"P";"N/A";10
"N05BA01";"diazepam";10.0000;"mg";"R";"N/A";10
"N05BA02";"chlordiazepoxide";30.0000;"mg";"O";"N/A";30
"N05BA02";"chlordiazepoxide";50.0000;"mg";"P";"N/A";50
"N05BA03";"medazepam";20.0000;"mg";"O";"N/A";20
"N05BA04";"oxazepam";50.0000;"mg";"O";"N/A";50
"N05BA05";"potassium clorazepate";20.0000;"mg";"O";"N/A";20
"N05BA06";"lorazepam";2.5000;"mg";"O";"N/A";2.5
"N05BA06";"lorazepam";2.5000;"mg";"P";"N/A";2.5
"N05BA06";"lorazepam";2.5000;"mg";"SL";"N/A";2.5
"N05BA08";"bromazepam";10.0000;"mg";"O";"N/A";10
"N05BA09";"clobazam";20.0000;"mg";"O";"N/A";20
"N05BA11";"prazepam";30.0000;"mg";"O";"N/A";30
"N05BA12";"alprazolam";1.0000;"mg";"O";"N/A";1
"N05BA13";"halazepam";0.1000;"g";"O";"N/A";100
"N05BA15";"camazepam";30.0000;"mg";"O";"N/A";30
"N05BA16";"nordazepam";15.0000;"mg";"O";"N/A";15
"N05BA17";"fludiazepam";0.7500;"mg";"O";"N/A";0.75
"N05BA18";"ethyl loflazepate";2.0000;"mg";"O";"N/A";2
"N05BA24";"bentazepam";75.0000;"mg";"O";"N/A";75
"N05BB01";"hydroxyzine";75.0000;"mg";"O";"N/A";75
"N05BB01";"hydroxyzine";75.0000;"mg";"P";"N/A";75
"N05BB02";"captodiame";0.2000;"g";"O";"N/A";200
"N05BC01";"meprobamate";1.2000;"g";"O";"N/A";1200
"N05BC03";"emylcamate";0.9000;"g";"O";"N/A";900
"N05BD01";"benzoctamine";30.0000;"mg";"O";"N/A";30
"N05BD01";"benzoctamine";30.0000;"mg";"P";"N/A";30
"N05BE01";"buspirone";30.0000;"mg";"O";"N/A";30
"N05BX01";"mephenoxalone";1.2000;"g";"O";"N/A";1200
"N05BX04";"fabomotizole";30.0000;"mg";"O";"N/A";30
"N05CA01";"pentobarbital";0.1000;"g";"O";"N/A";100
"N05CA01";"pentobarbital";0.1000;"g";"P";"N/A";100
"N05CA01";"pentobarbital";0.1000;"g";"R";"N/A";100
"N05CA02";"amobarbital";0.1000;"g";"O";"N/A";100
"N05CA02";"amobarbital";0.1000;"g";"P";"N/A";100
"N05CA03";"butobarbital";0.1500;"g";"O";"N/A";150
"N05CA04";"barbital";0.5000;"g";"O";"N/A";500
"N05CA05";"aprobarbital";0.1000;"g";"O";"N/A";100
"N05CA05";"aprobarbital";0.1000;"g";"P";"N/A";100
"N05CA06";"secobarbital";0.1000;"g";"O";"N/A";100
"N05CA07";"talbutal";0.1000;"g";"O";"N/A";100
"N05CA08";"vinylbital";0.1500;"g";"O";"N/A";150
"N05CA09";"vinbarbital";0.1000;"g";"O";"N/A";100
"N05CA10";"cyclobarbital";0.2000;"g";"O";"N/A";200
"N05CA11";"heptabarbital";0.2000;"g";"O";"N/A";200
"N05CA12";"reposal";0.2000;"g";"O";"N/A";200
"N05CA16";"hexobarbital";0.2500;"g";"O";"N/A";250
"N05CC01";"chloral hydrate";1.0000;"g";"O";"N/A";1000
"N05CC01";"chloral hydrate";1.0000;"g";"R";"N/A";1000
"N05CC02";"chloralodol";1.6000;"g";"O";"N/A";1600
"N05CC03";"acetylglycinamide chloral hydrate";1.7000;"g";"O";"N/A";1700
"N05CC04";"dichloralphenazone";1.3000;"g";"O";"N/A";1300
"N05CC05";"paraldehyde";5.0000;"g";"O";"N/A";5000
"N05CC05";"paraldehyde";5.0000;"g";"P";"N/A";5000
"N05CC05";"paraldehyde";5.0000;"g";"R";"N/A";5000
"N05CD01";"flurazepam";30.0000;"mg";"O";"N/A";30
"N05CD02";"nitrazepam";5.0000;"mg";"O";"N/A";5
"N05CD03";"flunitrazepam";1.0000;"mg";"O";"N/A";1
"N05CD03";"flunitrazepam";1.0000;"mg";"P";"N/A";1
"N05CD04";"estazolam";3.0000;"mg";"O";"N/A";3
"N05CD05";"triazolam";0.2500;"mg";"O";"N/A";0.25
"N05CD05";"triazolam";0.2000;"mg";"SL";"N/A";0.2
"N05CD06";"lormetazepam";1.0000;"mg";"O";"N/A";1
"N05CD07";"temazepam";20.0000;"mg";"O";"N/A";20
"N05CD08";"midazolam";15.0000;"mg";"O";"N/A";15
"N05CD08";"midazolam";15.0000;"mg";"P";"N/A";15
"N05CD09";"brotizolam";0.2500;"mg";"O";"N/A";0.25
"N05CD10";"quazepam";15.0000;"mg";"O";"N/A";15
"N05CD11";"loprazolam";1.0000;"mg";"O";"N/A";1
"N05CE01";"glutethimide";0.2500;"g";"O";"N/A";250
"N05CE02";"methyprylon";0.2000;"g";"O";"N/A";200
"N05CE03";"pyrithyldione";0.2000;"g";"O";"N/A";200
"N05CF01";"zopiclone";7.5000;"mg";"O";"N/A";7.5
"N05CF02";"zolpidem";10.0000;"mg";"O";"N/A";10
"N05CF03";"zaleplon";10.0000;"mg";"O";"N/A";10
"N05CH01";"melatonin";2.0000;"mg";"O";"N/A";2
"N05CM01";"methaqualone";0.2000;"g";"O";"N/A";200
"N05CM02";"clomethiazole";1.5000;"g";"O";"N/A";1500
"N05CM02";"clomethiazole";1.5000;"g";"P";"N/A";1500
"N05CM03";"bromisoval";0.6000;"g";"O";"N/A";600
"N05CM04";"carbromal";1.0000;"g";"O";"N/A";1000
"N05CM05";"scopolamine";0.9000;"mg";"O";"N/A";0.9
"N05CM05";"scopolamine";0.9000;"mg";"P";"N/A";0.9
"N05CM06";"propiomazine";25.0000;"mg";"O";"N/A";25
"N05CM07";"triclofos";1.0000;"g";"O";"N/A";1000
"N05CM08";"ethchlorvynol";0.5000;"g";"O";"N/A";500
"N05CM10";"hexapropymate";0.4000;"g";"O";"N/A";400
"N05CM12";"apronal";0.2500;"g";"O";"N/A";250
"N05CM13";"valnoctamide";0.6000;"g";"O";"N/A";600
"N05CM18";"dexmedetomidine";1.0000;"mg";"P";"N/A";1
"N06AA01";"desipramine";0.1000;"g";"O";"N/A";100
"N06AA02";"imipramine";0.1000;"g";"O";"N/A";100
"N06AA02";"imipramine";0.1000;"g";"P";"N/A";100
"N06AA03";"imipramine oxide";0.1000;"g";"O";"N/A";100
"N06AA04";"clomipramine";0.1000;"g";"O";"N/A";100
"N06AA04";"clomipramine";0.1000;"g";"P";"N/A";100
"N06AA05";"opipramol";0.1500;"g";"O";"N/A";150
"N06AA06";"trimipramine";0.1500;"g";"O";"N/A";150
"N06AA06";"trimipramine";0.1500;"g";"P";"N/A";150
"N06AA07";"lofepramine";0.1050;"g";"O";"N/A";105
"N06AA08";"dibenzepin";0.3000;"g";"O";"N/A";300
"N06AA09";"amitriptyline";75.0000;"mg";"O";"N/A";75
"N06AA09";"amitriptyline";75.0000;"mg";"P";"N/A";75
"N06AA10";"nortriptyline";75.0000;"mg";"O";"N/A";75
"N06AA10";"nortriptyline";30.0000;"mg";"P";"N/A";30
"N06AA11";"protriptyline";30.0000;"mg";"O";"N/A";30
"N06AA12";"doxepin";0.1000;"g";"O";"N/A";100
"N06AA12";"doxepin";0.1000;"g";"P";"N/A";100
"N06AA13";"iprindole";90.0000;"mg";"O";"N/A";90
"N06AA14";"melitracen";75.0000;"mg";"O";"N/A";75
"N06AA14";"melitracen";75.0000;"mg";"P";"N/A";75
"N06AA15";"butriptyline";75.0000;"mg";"O";"N/A";75
"N06AA16";"dosulepin";0.1500;"g";"O";"N/A";150
"N06AA17";"amoxapine";0.1500;"g";"O";"N/A";150
"N06AA18";"dimetacrine";0.1500;"g";"O";"N/A";150
"N06AA21";"maprotiline";0.1000;"g";"O";"N/A";100
"N06AA21";"maprotiline";0.1000;"g";"P";"N/A";100
"N06AB02";"zimeldine";0.2000;"g";"O";"N/A";200
"N06AB03";"fluoxetine";20.0000;"mg";"O";"N/A";20
"N06AB04";"citalopram";20.0000;"mg";"O";"N/A";20
"N06AB04";"citalopram";20.0000;"mg";"P";"N/A";20
"N06AB05";"paroxetine";20.0000;"mg";"O";"N/A";20
"N06AB06";"sertraline";50.0000;"mg";"O";"N/A";50
"N06AB08";"fluvoxamine";0.1000;"g";"O";"N/A";100
"N06AB10";"escitalopram";10.0000;"mg";"O";"N/A";10
"N06AF01";"isocarboxazid";15.0000;"mg";"O";"N/A";15
"N06AF02";"nialamide";0.1000;"g";"O";"N/A";100
"N06AF03";"phenelzine";60.0000;"mg";"O";"N/A";60
"N06AF04";"tranylcypromine";10.0000;"mg";"O";"N/A";10
"N06AG02";"moclobemide";0.3000;"g";"O";"N/A";300
"N06AX03";"mianserin";60.0000;"mg";"O";"N/A";60
"N06AX04";"nomifensine";0.1500;"g";"O";"N/A";150
"N06AX05";"trazodone";0.3000;"g";"O";"N/A";300
"N06AX06";"nefazodone";0.4000;"g";"O";"N/A";400
"N06AX07";"minaprine";0.1000;"g";"O";"N/A";100
"N06AX09";"viloxazine";0.2000;"g";"O";"N/A";200
"N06AX11";"mirtazapine";30.0000;"mg";"O";"N/A";30
"N06AX12";"bupropion";0.3000;"g";"O";"N/A";300
"N06AX14";"tianeptine";37.5000;"mg";"O";"N/A";37.5
"N06AX16";"venlafaxine";0.1000;"g";"O";"N/A";100
"N06AX17";"milnacipran";0.1000;"g";"O";"N/A";100
"N06AX18";"reboxetine";8.0000;"mg";"O";"N/A";8
"N06AX21";"duloxetine";60.0000;"mg";"O";"N/A";60
"N06AX22";"agomelatine";25.0000;"mg";"O";"N/A";25
"N06AX23";"desvenlafaxine";50.0000;"mg";"O";"N/A";50
"N06AX26";"vortioxetine";10.0000;"mg";"O";"N/A";10
"N06BA01";"amfetamine";15.0000;"mg";"O";"N/A";15
"N06BA01";"amfetamine";15.0000;"mg";"P";"N/A";15
"N06BA02";"dexamfetamine";15.0000;"mg";"O";"N/A";15
"N06BA03";"metamfetamine";15.0000;"mg";"O";"N/A";15
"N06BA04";"methylphenidate";30.0000;"mg";"O";"N/A";30
"N06BA05";"pemoline";40.0000;"mg";"O";"N/A";40
"N06BA07";"modafinil";0.3000;"g";"O";"N/A";300
"N06BA09";"atomoxetine";80.0000;"mg";"O";"N/A";80
"N06BA11";"dexmethylphenidate";15.0000;"mg";"O";"N/A";15
"N06BA12";"lisdexamfetamine";30.0000;"mg";"O";"N/A";30
"N06BA13";"armodafinil";0.1500;"g";"O";"N/A";150
"N06BC01";"caffeine";0.4000;"g";"O";"N/A";400
"N06BC01";"caffeine";0.4000;"g";"P";"N/A";400
"N06BX02";"pyritinol";0.6000;"g";"O";"N/A";600
"N06BX03";"piracetam";2.4000;"g";"O";"N/A";2400
"N06BX03";"piracetam";6.0000;"g";"P";"N/A";6000
"N06BX13";"idebenone";0.9000;"g";"O";"N/A";900
"N06BX15";"pipradrol";30.0000;"mg";"O";"N/A";30
"N06BX18";"vinpocetine";15.0000;"mg";"O";"N/A";15
"N06DA01";"tacrine";0.1200;"g";"O";"N/A";120
"N06DA02";"donepezil";7.5000;"mg";"O";"N/A";7.5
"N06DA03";"rivastigmine";9.0000;"mg";"O";"N/A";9
"N06DA04";"galantamine";16.0000;"mg";"O";"N/A";16
"N06DX01";"memantine";20.0000;"mg";"O";"N/A";20
"N06DX02";"Ginkgo folium";0.1200;"g";"O";"N/A";120
"N07AA01";"neostigmine";60.0000;"mg";"O";"N/A";60
"N07AA01";"neostigmine";2.0000;"mg";"P";"N/A";2
"N07AA02";"pyridostigmine";0.1800;"g";"O";"N/A";180
"N07AA02";"pyridostigmine";10.0000;"mg";"P";"N/A";10
"N07AA03";"distigmine";5.0000;"mg";"O";"N/A";5
"N07AA03";"distigmine";0.2500;"mg";"P";"N/A";0.25
"N07AA30";"ambenonium";60.0000;"mg";"O";"N/A";60
"N07AB01";"carbachol";6.0000;"mg";"O";"N/A";6
"N07AB01";"carbachol";0.5000;"mg";"P";"N/A";0.5
"N07AB02";"bethanechol";45.0000;"mg";"O";"N/A";45
"N07AX01";"pilocarpine";15.0000;"mg";"O";"N/A";15
"N07AX01";"pilocarpine";10.0000;"mg";"P";"N/A";10
"N07AX03";"cevimeline";90.0000;"mg";"O";"N/A";90
"N07BA01";"nicotine";30.0000;"mg";"Chewing gum";"N/A";30
"N07BA01";"nicotine";60.0000;"mg";"Inhal";"N/A";60
"N07BA01";"nicotine";30.0000;"mg";"N";"N/A";30
"N07BA01";"nicotine";30.0000;"mg";"SL";"N/A";30
"N07BA01";"nicotine";14.0000;"mg";"TD";"N/A";14
"N07BA03";"varenicline";2.0000;"mg";"O";"N/A";2
"N07BB01";"disulfiram";0.2000;"g";"O";"N/A";200
"N07BB03";"acamprosate";2.0000;"g";"O";"N/A";2000
"N07BB04";"naltrexone";50.0000;"mg";"O";"N/A";50
"N07BB05";"nalmefene";18.0000;"mg";"O";"N/A";18
"N07BC01";"buprenorphine";8.0000;"mg";"SL";"N/A";8
"N07BC02";"methadone";25.0000;"mg";"O";"N/A";25
"N07BC02";"methadone";25.0000;"mg";"P";"N/A";25
"N07BC04";"lofexidine";1.4000;"mg";"O";"N/A";1.4
"N07CA01";"betahistine";24.0000;"mg";"O";"N/A";24
"N07CA02";"cinnarizine";90.0000;"mg";"O";"N/A";90
"N07CA03";"flunarizine";10.0000;"mg";"O";"N/A";10
"N07XX01";"tirilazad";0.4200;"g";"P";"N/A";420
"N07XX02";"riluzole";0.1000;"g";"O";"N/A";100
"N07XX04";"sodium oxybate";7.5000;"g";"O";"N/A";7500
"N07XX05";"amifampridine";40.0000;"mg";"O";"N/A";40
"N07XX06";"tetrabenazine";0.1000;"g";"O";"N/A";100
"N07XX07";"fampridine";20.0000;"mg";"O";"N/A";20
"N07XX08";"tafamidis";20.0000;"mg";"O";"N/A";20
"N07XX09";"dimethyl fumarate";0.4800;"g";"O";"N/A";480
"A01AA03";"olaflur";1.1000;"mg";"O";"N/A";1.1
"A01AB02";"hydrogen peroxide";60.0000;"mg";"O";"N/A";60
"A01AB03";"chlorhexidine";30.0000;"mg";"O";"N/A";30
"A01AB04";"amphotericin B";40.0000;"mg";"O";"N/A";40
"A01AB05";"polynoxylin";0.1800;"g";"O";"N/A";180
"A01AB06";"domiphen";3.0000;"mg";"O";"N/A";3
"A01AB07";"oxyquinoline";80.0000;"mg";"O";"N/A";80
"A01AB09";"miconazole";0.2000;"g";"O";"N/A";200
"A01AB10";"natamycin";20.0000;"mg";"O";"N/A";20
"A01AB23";"minocycline";1.0000;"mg";"O";"N/A";1
"A01AD02";"benzydamine";9.0000;"mg";"O";"N/A";9
"A02AA04";"magnesium hydroxide";3.0000;"g";"O";"N/A";3000
"A02AB02";"algeldrate";5.0000;"g";"O";"N/A";5000
"A02AB04";"dihydroxialumini sodium carbonate";4.0000;"g";"O";"N/A";4000
"A02AC02";"calcium silicate";6.0000;"g";"O";"N/A";6000
"A02BA01";"cimetidine";0.8000;"g";"O";"N/A";800
"A02BA01";"cimetidine";0.8000;"g";"P";"N/A";800
"A02BA02";"ranitidine";0.3000;"g";"O";"N/A";300
"A02BA02";"ranitidine";0.3000;"g";"P";"N/A";300
"A02BA03";"famotidine";40.0000;"mg";"O";"N/A";40
"A02BA03";"famotidine";40.0000;"mg";"P";"N/A";40
"A02BA04";"nizatidine";0.3000;"g";"O";"N/A";300
"A02BA04";"nizatidine";0.3000;"g";"P";"N/A";300
"A02BA06";"roxatidine";0.1500;"g";"O";"N/A";150
"A02BA07";"ranitidine bismuth citrate";0.8000;"g";"O";"N/A";800
"A02BA08";"lafutidine";20.0000;"mg";"O";"N/A";20
"A02BB01";"misoprostol";0.8000;"mg";"O";"N/A";0.8
"A02BB02";"enprostil";70.0000;"mcg";"O";"N/A";0.07
"A02BC01";"omeprazole";20.0000;"mg";"O";"N/A";20
"A02BC01";"omeprazole";20.0000;"mg";"P";"N/A";20
"A02BC02";"pantoprazole";40.0000;"mg";"O";"N/A";40
"A02BC02";"pantoprazole";40.0000;"mg";"P";"N/A";40
"A02BC03";"lansoprazole";30.0000;"mg";"O";"N/A";30
"A02BC04";"rabeprazole";20.0000;"mg";"O";"N/A";20
"A02BC05";"esomeprazole";30.0000;"mg";"O";"N/A";30
"A02BC05";"esomeprazole";30.0000;"mg";"P";"N/A";30
"A02BC06";"dexlansoprazole";30.0000;"mg";"O";"N/A";30
"A02BX01";"carbenoxolone";0.1500;"g";"O";"N/A";150
"A02BX02";"sucralfate";4.0000;"g";"O";"N/A";4000
"A02BX03";"pirenzepine";0.1000;"g";"O";"N/A";100
"A02BX03";"pirenzepine";20.0000;"mg";"P";"N/A";20
"A02BX05";"bismuth subcitrate";0.4800;"g";"O";"N/A";480
"A02BX06";"proglumide";1.2000;"g";"O";"N/A";1200
"A03AA01";"oxyphencyclimine";20.0000;"mg";"O";"N/A";20
"A03AA03";"camylofin";0.2000;"g";"O";"N/A";200
"A03AA03";"camylofin";0.2000;"g";"R";"N/A";200
"A03AA04";"mebeverine";0.3000;"g";"O";"N/A";300
"A03AA05";"trimebutine";0.6000;"g";"O";"N/A";600
"A03AA07";"dicycloverine";80.0000;"mg";"O";"N/A";80
"A03AA07";"dicycloverine";80.0000;"mg";"P";"N/A";80
"A03AB01";"benzilone";70.0000;"mg";"O";"N/A";70
"A03AB02";"glycopyrronium bromide";3.0000;"mg";"O";"N/A";3
"A03AB02";"glycopyrronium bromide";3.0000;"mg";"P";"N/A";3
"A03AB02";"glycopyrronium bromide";3.0000;"mg";"R";"N/A";3
"A03AB03";"oxyphenonium";25.0000;"mg";"O";"N/A";25
"A03AB04";"penthienate";15.0000;"mg";"O";"N/A";15
"A03AB05";"propantheline";60.0000;"mg";"O";"N/A";60
"A03AB05";"propantheline";60.0000;"mg";"P";"N/A";60
"A03AB07";"methantheline";0.1500;"g";"O";"N/A";150
"A03AB08";"tridihexethyl";0.1250;"g";"O";"N/A";125
"A03AB09";"isopropamide";10.0000;"mg";"O";"N/A";10
"A03AB10";"hexocyclium";0.1500;"g";"O";"N/A";150
"A03AB11";"poldine";12.0000;"mg";"O";"N/A";12
"A03AB12";"mepenzolate";0.1000;"g";"O";"N/A";100
"A03AB13";"bevonium";0.2000;"g";"O";"N/A";200
"A03AB14";"pipenzolate";20.0000;"mg";"O";"N/A";20
"A03AB16";"(2-benzhydryloxyethyl)diethyl-methylammonium iodide";0.3000;"g";"O";"N/A";300
"A03AD01";"papaverine";0.1000;"g";"O";"N/A";100
"A03AD01";"papaverine";0.1000;"g";"P";"N/A";100
"A03AD02";"drotaverine";0.1000;"g";"O";"N/A";100
"A03AD02";"drotaverine";0.1000;"g";"P";"N/A";100
"A03AD30";"moxaverine";50.0000;"mg";"O";"N/A";50
"A03AE01";"alosetron";1.0000;"mg";"O";"N/A";1
"A03AX03";"chlorbenzoxamine";0.1500;"g";"O";"N/A";150
"A03AX04";"pinaverium";0.1500;"g";"O";"N/A";150
"A03AX13";"silicones";0.5000;"g";"O";"N/A";500
"A03AX30";"trimethyldiphenylpropylamine";50.0000;"mg";"O";"N/A";50
"A03AX30";"trimethyldiphenylpropylamine";50.0000;"mg";"P";"N/A";50
"A03BA01";"atropine";1.5000;"mg";"O";"N/A";1.5
"A03BA01";"atropine";1.5000;"mg";"P";"N/A";1.5
"A03BA03";"hyoscyamine";1.2000;"mg";"O";"N/A";1.2
"A03BA04";"belladonna total alkaloids";1.0000;"mg";"O";"N/A";1
"A03BB01";"butylscopolamine";60.0000;"mg";"O";"N/A";60
"A03BB01";"butylscopolamine";60.0000;"mg";"P";"N/A";60
"A03BB01";"butylscopolamine";60.0000;"mg";"R";"N/A";60
"A03BB02";"methylatropine";3.0000;"mg";"O";"N/A";3
"A03BB03";"methylscopolamine";12.0000;"mg";"O";"N/A";12
"A03BB03";"methylscopolamine";12.0000;"mg";"P";"N/A";12
"A03BB04";"fentonium";60.0000;"mg";"O";"N/A";60
"A03FA01";"metoclopramide";30.0000;"mg";"O";"N/A";30
"A03FA01";"metoclopramide";30.0000;"mg";"P";"N/A";30
"A03FA01";"metoclopramide";30.0000;"mg";"R";"N/A";30
"A03FA02";"cisapride";30.0000;"mg";"O";"N/A";30
"A03FA02";"cisapride";30.0000;"mg";"R";"N/A";30
"A10AD30";"combinations";40.0000;"U";"P";"N/A";
"A03FA03";"domperidone";30.0000;"mg";"O";"N/A";30
"A03FA03";"domperidone";30.0000;"mg";"P";"N/A";30
"A03FA03";"domperidone";0.1200;"g";"R";"N/A";120
"A03FA04";"bromopride";20.0000;"mg";"O";"N/A";20
"A03FA04";"bromopride";20.0000;"mg";"P";"N/A";20
"A03FA05";"alizapride";0.1500;"g";"O";"N/A";150
"A03FA05";"alizapride";0.1500;"g";"P";"N/A";150
"A04AA01";"ondansetron";16.0000;"mg";"O";"N/A";16
"A04AA01";"ondansetron";16.0000;"mg";"P";"N/A";16
"A04AA01";"ondansetron";16.0000;"mg";"R";"N/A";16
"A04AA02";"granisetron";2.0000;"mg";"O";"N/A";2
"A04AA02";"granisetron";3.0000;"mg";"P";"N/A";3
"A04AA02";"granisetron";3.1000;"mg";"TD";"N/A";3.1
"A04AA03";"tropisetron";5.0000;"mg";"O";"N/A";5
"A04AA03";"tropisetron";5.0000;"mg";"P";"N/A";5
"A04AA04";"dolasetron";0.2000;"g";"O";"N/A";200
"A04AA04";"dolasetron";0.1000;"g";"P";"N/A";100
"A04AA05";"palonosetron";0.5000;"mg";"O";"N/A";0.5
"A04AA05";"palonosetron";0.2500;"mg";"P";"N/A";0.25
"A04AD05";"metopimazine";15.0000;"mg";"O";"N/A";15
"A04AD05";"metopimazine";15.0000;"mg";"P";"N/A";15
"A04AD12";"aprepitant";95.0000;"mg";"O";"N/A";95
"A05AA02";"ursodeoxycholic acid";0.7500;"g";"O";"N/A";750
"A06AA01";"liquid paraffin";15.0000;"g";"O";"N/A";15000
"A06AA02";"docusate sodium";0.1500;"g";"O";"N/A";150
"A06AB01";"oxyphenisatine";10.0000;"mg";"O";"N/A";10
"A06AB02";"bisacodyl";10.0000;"mg";"O";"N/A";10
"A06AB02";"bisacodyl";10.0000;"mg";"R";"N/A";10
"A06AB03";"dantron";50.0000;"mg";"O";"N/A";50
"A06AB04";"phenolphthalein";0.2000;"g";"O";"N/A";200
"A06AB05";"castor oil";20.0000;"g";"O";"N/A";20000
"A06AB08";"sodium picosulfate";5.0000;"mg";"O";"N/A";5
"A06AB09";"bisoxatin";0.1200;"g";"O";"N/A";120
"A06AC01";"ispaghula (psylla seeds)";7.0000;"g";"O";"N/A";7000
"A06AC02";"ethulose";3.0000;"g";"O";"N/A";3000
"A06AC03";"sterculia";8.0000;"g";"O";"N/A";8000
"A06AC06";"methylcellulose";2.0000;"g";"O";"N/A";2000
"A06AC07";"triticum (wheat fibre)";10.0000;"g";"O";"N/A";10000
"A06AC08";"polycarbophil calcium";2.5000;"g";"O";"N/A";2500
"A06AD01";"magnesium carbonate";7.0000;"g";"O";"N/A";7000
"A06AD02";"magnesium oxide";7.0000;"g";"O";"N/A";7000
"A06AD04";"magnesium sulfate";7.0000;"g";"O";"N/A";7000
"A06AD11";"lactulose";6.7000;"g";"O";"N/A";6700
"A06AD12";"lactitol";10.0000;"g";"O";"N/A";10000
"A06AD15";"macrogol";10.0000;"g";"O";"N/A";10000
"A06AD17";"sodium phosphate";50.0000;"g";"O";"N/A";50000
"A06AD18";"sorbitol";10.0000;"g";"O";"N/A";10000
"A06AH01";"methylnaltrexone bromide";6.0000;"mg";"P";"N/A";6
"A06AH03";"naloxegol";25.0000;"mg";"O";"N/A";25
"A06AX04";"linaclotide";0.2900;"mg";"O";"N/A";0.29
"A06AX05";"prucalopride";2.0000;"mg";"O";"N/A";2
"A06AX06";"tegaserod";12.0000;"mg";"O";"N/A";12
"A07AA01";"neomycin";5.0000;"g";"O";"N/A";5000
"A07AA02";"nystatin";1.5000;"MU";"O";"N/A";
"A07AA03";"natamycin";0.3000;"g";"O";"N/A";300
"A07AA05";"polymyxin B";3.0000;"MU";"O";"N/A";
"A07AA06";"paromomycin";3.0000;"g";"O";"N/A";3000
"A07AA07";"amphotericin B";0.4000;"g";"O";"N/A";400
"A07AA09";"vancomycin";2.0000;"g";"O";"N/A";2000
"A07AA11";"rifaximin";0.6000;"g";"O";"N/A";600
"A07AA12";"fidaxomicin";0.4000;"g";"O";"N/A";400
"A07AB02";"phthalylsulfathiazole";9.0000;"g";"O";"N/A";9000
"A07AB03";"sulfaguanidine";4.0000;"g";"O";"N/A";4000
"A07AC01";"miconazole";1.0000;"g";"O";"N/A";1000
"A07AX03";"nifuroxazide";0.6000;"g";"O";"N/A";600
"A07BA01";"medicinal charcoal";5.0000;"g";"O";"N/A";5000
"A07BC05";"diosmectite";9.0000;"g";"O";"N/A";9000
