drug1	drug2
Cobicistat	 ALFUZOSIN 
Cobicistat	 AMIODARONE 
Cobicistat	 RIFABUTIN  
Cobicistat	 RIFAMPICIN 
Cobicistat	 RIVAROXABAN 
Cobicistat	 FOSPHENYTOIN 
Cobicistat	 PRIMIDONE 
Cobicistat	 LURASIDONE 
Cobicistat	 PIMOZIDE 
Cobicistat	 DACLATASVIR 
Cobicistat	 TIPRANAVIR  
Cobicistat	 MIDAZOLAM 
Cobicistat	 IBRUTINIB 
Cobicistat	 DOMPERIDONE 
Cobicistat	 ERGOT ALKALOIDS 
Cobicistat	 SIMVASTATIN 
Cobicistat	 OESTROGENS 
Cobicistat	 SILDENAFIL 
Cobicistat	 TADALAFIL 
Cobicistat	 VARDENAFIL 
Co-careldopa	 VOLATILE LIQUID GENERAL ANAESTHETICS 
Co-careldopa	 MOCLOBEMIDE 
Colchicine	 AMIODARONE 
Colesevelam	 CICLOSPORIN 
Colestyramine	 PHENINDIONE 
Corticosteroids	 ALDESLEUKIN 
Corticosteroids	 CLARITHROMYCIN 
Corticosteroids	 RIFAMYCINS  
Corticosteroids	 PHENINDIONE 
Corticosteroids	 PHENOBARBITAL 
Corticosteroids	 PRIMIDONE  
Corticosteroids	 KETOCONAZOLE 
Corticosteroids	 KETOCONAZOLE 
Corticosteroids	 CASPOFUNGIN 
Corticosteroids	 TELAPREVIR 
Corticosteroids	 RITONAVIR 
Corticosteroids	 RITONAVIR 
Corticosteroids	 TELAPREVIR 
Corticosteroids	 CICLOSPORIN 
Coumarins	 ALCOHOL 
Coumarins	 ANABOLIC STEROIDS 
Coumarins	 DICLOFENAC  
Coumarins	 KETOROLAC  
Coumarins	 PARACETAMOL 
Coumarins	 LEVAMISOLE 
Cranberry Juice	 COUMARINS 
Crizotinib	 FENTANYL 
Crizotinib	 RIFAMPICIN 
Crizotinib	 KETOCONAZOLE 
Crizotinib	 VORICONAZOLE 
Crizotinib	 PIMOZIDE 
Crizotinib	 SAQUINAVIR 
Crizotinib	 MIDAZOLAM 
Crizotinib	 CICLOSPORIN 
Crizotinib	 IBRUTINIB 
Crizotinib	 ERGOT ALKALOIDS 
Cyclophosphamide	 CLOZAPINE  
Cyclophosphamide	 PENTOSTATIN 
Cycloserine	 ALCOHOL 
Cytarabine	 CLOZAPINE  
Dabigatran	 KETOROLAC  
Dabigatran	 AMIODARONE  
Dabigatran	 DRONEDARONE 
Dabigatran	 RIFAMPICIN 
Dabigatran	 RIVAROXABAN  
Dabigatran	 SSRI-RELATED ANTIDEPRESSANTS  
Dabigatran	 SSRIS 
Dabigatran	 ITRACONAZOLE 
Dabigatran	 VERAPAMIL  
Dabigatran	 CICLOSPORIN 
Dabigatran	 SULFINPYRAZONE 
Dabigatran	 TACROLIMUS 
Dabigatran	 TICAGRELOR 
Dabrafenib	 CLOZAPINE  
Dabrafenib	 OESTROGENS  
Dabrafenib	 PROGESTOGENS  
Dacarbazine	 ALDESLEUKIN 
Dacarbazine	 CLOZAPINE  
Daclatasvir	 AMIODARONE 
Daclatasvir	 TELITHROMYCIN 
Daclatasvir	 RIFAMPICIN 
Daclatasvir	 FOSPHENYTOIN 
Daclatasvir	 PHENYTOIN  
Daclatasvir	 PRIMIDONE 
Daclatasvir	 POSACONAZOLE  
Daclatasvir	 VORICONAZOLE 
Daclatasvir	 BOCEPREVIR 
Daclatasvir	 LOPINAVIR  
Daclatasvir	 NEVIRAPINE  
Daclatasvir	 DIGOXIN 
Daclatasvir	 COBICISTAT 
Dactinomycin	 CLOZAPINE  
Danaparoid	 DICLOFENAC  
Danaparoid	 KETOROLAC  
Danaparoid	 RIVAROXABAN  
Danazol	 COUMARINS 
Danazol	 CARBAMAZEPINE  
Danazol	 CICLOSPORIN 
Danazol	 SIMVASTATIN 
Dapoxetine	 ALCOHOL 
Dapoxetine	 TRAMADOL  
Dapoxetine	 ERYTHROMYCIN  
Dapoxetine	 TELITHROMYCIN  
Dapoxetine	 MAOIS  
Dapoxetine	 ITRACONAZOLE  
Dapoxetine	 RITONAVIR  
Dapoxetine	 FOSAMPRENAVIR  
Dapoxetine	 5HT1 AGONISTS  
Dapoxetine	 LITHIUM  
Dapsone	 SAQUINAVIR 
Daptomycin	 CICLOSPORIN  
Daptomycin	 STATINS  
Darunavir	 RIFAMPICIN 
Darunavir	 ARTEMETHER WITH LUMEFANTRINE 
Darunavir	 QUININE  
Darunavir	 ARIPIPRAZOLE  
Darunavir	 QUETIAPINE 
Darunavir	 DIDANOSINE  
Darunavir	 SIMEPREVIR 
Darunavir	 BOSUTINIB 
Darunavir	 IBRUTINIB 
Darunavir	 ERGOT ALKALOIDS 
Darunavir	 LOMITAPIDE  
Darunavir	 ORLISTAT 
Darunavir	 RANOLAZINE 
Dasatinib	 ERYTHROMYCIN  
Dasatinib	 TELITHROMYCIN  
Dasatinib	 RIFAMPICIN  
Dasatinib	 CLOZAPINE  
Dasatinib	 RITONAVIR  
Decitabine	 CLOZAPINE  
Deferasirox	 AMINOPHYLLINE  
Deferasirox	 THEOPHYLLINE  
Delamanid	 METHADONE 
Delamanid	 DISOPYRAMIDE 
Delamanid	 ETHAMBUTOL 
Delamanid	 TRICYCLICS  
Delamanid	 HALOPERIDOL  
Delamanid	 PHENOTHIAZINES  
Dexrazoxane	 PHENYTOIN 
Dexrazoxane	 VACCINES 
Didanosine	 ALLOPURINOL  
Didanosine	 TIPRANAVIR 
Didanosine	 HYDROXYCARBAMIDE 
Didanosine	 ORLISTAT 
Dimethyl sulfoxide	 SULINDAC 
Dipyridamole	 ADENOSINE  
Dipyridamole	 HEPARINS 
Disopyramide	 DRONEDARONE 
Disopyramide	 CLARITHROMYCIN  
Disopyramide	 ERYTHROMYCIN  
Disopyramide	 MOXIFLOXACIN 
Disopyramide	 DELAMANID 
Disopyramide	 TELITHROMYCIN 
Disopyramide	 TRICYCLICS 
Disopyramide	 KETOCONAZOLE 
Disopyramide	 ITRACONAZOLE 
Disopyramide	 MIZOLASTINE 
Disopyramide	 ARTENIMOL WITH PIPERAQUINE  
Disopyramide	 TOLTERODINE 
Disopyramide	 ANTIPSYCHOTICS  
Disopyramide	 PIMOZIDE  
Disopyramide	 SULPIRIDE 
Disulfiram	 COUMARINS 
Disulfiram	 PHENYTOIN  
Disulfiram	 PARALDEHYDE 
Diuretics	 TRICYCLICS 
Diuretics	 PHENOBARBITAL 
Diuretics	 PRIMIDONE 
Diuretics	 ZONISAMIDE 
Diuretics	 FLUCONAZOLE  
Diuretics	 PIMOZIDE  
Diuretics	 SAQUINAVIR  
Diuretics	 ATOMOXETINE 
Diuretics	 SOTALOL 
Diuretics	 DIGOXIN 
Diuretics	 CICLOSPORIN 
Diuretics	 METHOTREXATE 
Diuretics	 PLATINUM COMPOUNDS 
Diuretics	 LITHIUM 
Diuretics	 POTASSIUM SALTS 
Diuretics	 TACROLIMUS 
Docetaxel	 TELITHROMYCIN 
Docetaxel	 VORICONAZOLE 
Docetaxel	 CLOZAPINE  
Docetaxel	 SAQUINAVIR 
Dolutegravir	 RIFAMPICIN  
Dolutegravir	 NEVIRAPINE  
Domperidone	 DELAMANID 
Domperidone	 VORICONAZOLE 
Domperidone	 ARTENIMOL WITH PIPERAQUINE  
Domperidone	 RITONAVIR 
Domperidone	 TELAPREVIR 
Domperidone	 COBICISTAT 
Domperidone	 BOSUTINIB  
Doxapram	 VOLATILE LIQUID GENERAL ANAESTHETICS  
Doxorubicin	 CLOZAPINE  
Doxorubicin	 CICLOSPORIN 
Doxorubicin	 VACCINES 
Dronedarone	 DISOPYRAMIDE 
Dronedarone	 TELITHROMYCIN 
Dronedarone	 RIVAROXABAN 
Dronedarone	 TRICYCLICS  
Duloxetine	 CIPROFLOXACIN 
Duloxetine	 DABIGATRAN 
Duloxetine	 MOCLOBEMIDE  
Duloxetine	 MOCLOBEMIDE  
Duloxetine	 ARTENIMOL WITH PIPERAQUINE 
Efavirenz	 COUMARINS 
Efavirenz	 POSACONAZOLE 
Efavirenz	 CASPOFUNGIN 
Efavirenz	 PROGUANIL 
Efavirenz	 PIMOZIDE  
Efavirenz	 ATAZANAVIR  
Efavirenz	 DARUNAVIR  
Efavirenz	 ELVITEGRAVIR 
Efavirenz	 RITONAVIR 
Efavirenz	 TELAPREVIR 
Efavirenz	 MIDAZOLAM 
Efavirenz	 ATOVAQUONE 
Efavirenz	 CICLOSPORIN 
Efavirenz	 BOSUTINIB 
Efavirenz	 ERGOT ALKALOIDS 
Efavirenz	 ORLISTAT 
Efavirenz	 PROGESTOGENS 
Efavirenz	 TACROLIMUS 
Eltrombopag	 ROSUVASTATIN 
Elvitegravir	 RIFABUTIN  
Elvitegravir	 RIFAMPICIN 
Elvitegravir	 PRIMIDONE 
Elvitegravir	 NEVIRAPINE 
Elvitegravir	 ORLISTAT 
Emtricitabine	 ORLISTAT 
Enfuvirtide	 ORLISTAT 
Entacapone	 WARFARIN 
Entacapone	 VENLAFAXINE 
Entacapone	 MAOIS 
Enteral Foods	 PHENINDIONE 
Enzalutamide	 COUMARINS 
Enzalutamide	 GEMFIBROZIL 
Epirubicin	 CLOZAPINE  
Epirubicin	 CICLOSPORIN 
Epirubicin	 CIMETIDINE 
Ergot Alkaloids	 TETRACYCLINES 
Eribulin	 CLOZAPINE  
Erlotinib	 NSAIDS 
Erlotinib	 ANTACIDS 
Erlotinib	 COUMARINS 
Erlotinib	 CLOZAPINE  
Erlotinib	 BOCEPREVIR 
Ertapenem	 VALPROIC ACID 
Eslicarbazepine	 TRICYCLICS  
Eslicarbazepine	 MEFLOQUINE 
Eslicarbazepine	 ANTIPSYCHOTICS  
Eslicarbazepine	 OESTROGENS  
Eslicarbazepine	 ORLISTAT 
Eslicarbazepine	 PROGESTOGENS  
Estramustine	 CLOZAPINE  
Estramustine	 SODIUM CLODRONATE 
Etanercept	 ABATACEPT 
Ethosuximide	 ISONIAZID  
Ethosuximide	 TRICYCLICS  
Ethosuximide	 PRIMIDONE 
Ethosuximide	 VALPROIC ACID 
Ethosuximide	 MEFLOQUINE 
Ethosuximide	 ANTIPSYCHOTICS  
Ethosuximide	 ORLISTAT 
Etoposide	 COUMARINS 
Etoposide	 CLOZAPINE  
Etravirine	 BEDAQUILINE 
Etravirine	 NEVIRAPINE 
Etravirine	 TIPRANAVIR 
Etravirine	 CLOPIDOGREL 
Etravirine	 BOSUTINIB 
Etravirine	 ORLISTAT 
Everolimus	 ACE INHIBITORS 
Everolimus	 TELITHROMYCIN 
Everolimus	 RIFAMPICIN  
Everolimus	 POSACONAZOLE  
Everolimus	 VORICONAZOLE 
Everolimus	 CLOZAPINE  
Everolimus	 INDINAVIR 
Everolimus	 SAQUINAVIR 
Everolimus	 VERAPAMIL  
Everolimus	 CICLOSPORIN  
Everolimus	 IMATINIB  
Ezetimibe	 CICLOSPORIN 
Ezetimibe	 ROSUVASTATIN 
Ezetimibe	 Fampridine 
Ezetimibe	 CIMETIDINE 
Febuxostat	 AZATHIOPRINE 
Febuxostat	 MERCAPTOPURINE 
Fibrates	 DAPTOMYCIN  
Fibrates	 PHENINDIONE 
Fibrates	 REPAGLINIDE 
Fibrates	 COLCHICINE 
Fibrates	 BEXAROTENE 
Fibrates	 ENZALUTAMIDE 
Fibrates	 FLUVASTATIN  
Fibrates	 STATINS 
Fingolimod	 DISOPYRAMIDE  
Fingolimod	 DRONEDARONE 
Fingolimod	 KETOCONAZOLE 
Fingolimod	 BETA-BLOCKERS 
Fingolimod	 VERAPAMIL 
Flecainide	 AMIODARONE  
Flecainide	 TRICYCLICS 
Flecainide	 MIZOLASTINE 
Flecainide	 QUININE 
Flecainide	 TOLTERODINE 
Flecainide	 CLOZAPINE 
Flecainide	 LOPINAVIR  
Flecainide	 SAQUINAVIR 
Flecainide	 TELAPREVIR  
Flecainide	 BETA-BLOCKERS 
Flecainide	 VERAPAMIL 
Flecainide	 LOOP DIURETICS 
Flecainide	 THIAZIDES AND RELATED DIURETICS 
Fludarabine	 CLOZAPINE  
Fludarabine	 CYTARABINE 
Fludarabine	 PENTOSTATIN  
Fluorouracil	 COUMARINS 
Fluorouracil	 CLOZAPINE  
Fluorouracil	 FOLIC ACID 
Fluorouracil	 TEMOPORFIN 
Flutamide	 COUMARINS 
Folates	 TEGAFUR 
Folates	 RALTITREXED 
Fondaparinux	 DICLOFENAC  
Fondaparinux	 KETOROLAC  
Fondaparinux	 RIVAROXABAN  
Fosamprenavir	 FLECAINIDE  
Fosamprenavir	 PROPAFENONE  
Fosamprenavir	 LIDOCAINE 
Fosamprenavir	 TELITHROMYCIN 
Fosamprenavir	 QUININE  
Fosamprenavir	 QUETIAPINE 
Fosamprenavir	 RALTEGRAVIR 
Fosamprenavir	 LOPINAVIR 
Fosamprenavir	 TIPRANAVIR 
Fosamprenavir	 MIDAZOLAM  
Fosamprenavir	 AVANAFIL 
Fosamprenavir	 CICLOSPORIN 
Fosamprenavir	 IBRUTINIB 
Fosamprenavir	 ERGOTAMINE 
Fosamprenavir	 SIMVASTATIN 
Fosamprenavir	 LOMITAPIDE  
Fosamprenavir	 ORLISTAT 
Fosamprenavir	 RANOLAZINE 
Fosamprenavir	 TACROLIMUS 
Fosaprepitant	 PIMOZIDE 
Fosaprepitant	 IBRUTINIB 
Fosaprepitant	 OESTROGENS 
Fosaprepitant	 PROGESTOGENS  
Foscarnet	 PENTAMIDINE ISETIONATE 
Fosphenytoin	 AMINOPHYLLINE 
Fosphenytoin	 ACEMETACIN  
Fosphenytoin	 PARACETAMOL  
Fosphenytoin	 LEVAMISOLE 
Fosphenytoin	 DISOPYRAMIDE 
Fosphenytoin	 DRONEDARONE 
Fosphenytoin	 BEDAQUILINE 
Fosphenytoin	 ISONIAZID   
Fosphenytoin	 TRIMETHOPRIM  
Fosphenytoin	 RIVAROXABAN 
Fosphenytoin	 TRICYCLICS 
Fosphenytoin	 OXCARBAZEPINE 
Fosphenytoin	 VIGABATRIN 
Fosphenytoin	 CASPOFUNGIN 
Fosphenytoin	 MEFLOQUINE 
Fosphenytoin	 PYRIMETHAMINE 
Fosphenytoin	 LURASIDONE 
Fosphenytoin	 RILPIVIRINE  
Fosphenytoin	 DOLUTEGRAVIR 
Fosphenytoin	 TELAPREVIR 
Fosphenytoin	 ZIDOVUDINE 
Fusidic Acid	 SAQUINAVIR 
Fusidic Acid	 STATINS 
Gabapentin	 TRICYCLICS  
Gabapentin	 MEFLOQUINE 
Gabapentin	 ANTIPSYCHOTICS  
Gabapentin	 ORLISTAT 
Ganciclovir	 IMIPENEM WITH CILASTATIN 
Ganciclovir	 ZIDOVUDINE  
Gefitinib	 RIFAMPICIN 
Gefitinib	 WARFARIN 
Gefitinib	 CLOZAPINE  
Gefitinib	 BOCEPREVIR 
Gefitinib	 RANITIDINE 
Gemcitabine	 CLOZAPINE  
Glucosamine	 Golimumab 
Glucosamine	 ABATACEPT 
Grapefruit Juice	 ALISKIREN 
Grapefruit Juice	 DRONEDARONE 
Grapefruit Juice	 QUETIAPINE 
Grapefruit Juice	 CICLOSPORIN  
Grapefruit Juice	 COLCHICINE  
Grapefruit Juice	 BUDESONIDE 
Grapefruit Juice	 IBRUTINIB 
Grapefruit Juice	 PAZOPANIB 
Grapefruit Juice	 LOMITAPIDE 
Griseofulvin	 COUMARINS 
Heparins	 DICLOFENAC  
Heparins	 ASPIRIN 
Heparins	 RIVAROXABAN  
Heparins	 GLYCERYL TRINITRATE 
Histamine H2-antagonists	 TOLAZOLINE 
Histamine H2-antagonists	 AMINOPHYLLINE  
Histamine H2-antagonists	 LIDOCAINE  
Histamine H2-antagonists	 COUMARINS 
Histamine H2-antagonists	 SODIUM 
Histamine H2-antagonists	 VALPROIC ACID  
Histamine H2-antagonists	 TERBINAFINE 
Histamine H2-antagonists	 QUININE  
Histamine H2-antagonists	 ATAZANAVIR  
Histamine H2-antagonists	 SAQUINAVIR 
Histamine H2-antagonists	 CICLOSPORIN 
Histamine H2-antagonists	 CLOPIDOGREL 
Histamine H2-antagonists	 ERLOTINIB 
Histamine H2-antagonists	 PAZOPANIB 
Histamine H2-antagonists	 ERGOTAMINE 
Histamine H2-antagonists	 FAMPRIDINE 
Histamine H2-antagonists	 THEOPHYLLINE  
5HT1-receptor Agonists	 ERYTHROMYCIN  
5HT1-receptor Agonists	 QUINOLONES  
5HT1-receptor Agonists	 CITALOPRAM 
5HT1-receptor Agonists	 FLUVOXAMINE  
5HT1-receptor Agonists	 MAOIS  
5HT1-receptor Agonists	 MOCLOBEMIDE  
5HT1-receptor Agonists	 KETOCONAZOLE  
5HT1-receptor Agonists	 RITONAVIR  
5HT1-receptor Agonists	 DAPOXETINE  
5HT1-receptor Agonists	 ERGOTAMINE  
5HT3-receptor Antagonists	 VANDETANIB 
5HT3-receptor Antagonists	 APOMORPHINE 
Hydroxycarbamide	 CLOZAPINE  
Hydroxycarbamide	 STAVUDINE 
Hydroxychloroquine	 AMIODARONE 
Hydroxychloroquine	 MOXIFLOXACIN 
Hydroxychloroquine	 ARTEMETHER WITH LUMEFANTRINE 
Hydroxychloroquine	 MEFLOQUINE 
Hydroxychloroquine	 DROPERIDOL 
Hydroxychloroquine	 DIGOXIN 
Hydroxychloroquine	 CICLOSPORIN  
Hydroxychloroquine	 BOSUTINIB 
Ibrutinib	 DRONEDARONE 
Ibrutinib	 CLARITHROMYCIN 
Ibrutinib	 RIFAMPICIN 
Ibrutinib	 FOSPHENYTOIN  
Ibrutinib	 PHENYTOIN 
Ibrutinib	 ITRACONAZOLE  
Ibrutinib	 VORICONAZOLE 
Ibrutinib	 CLOZAPINE  
Ibrutinib	 FOSAMPRENAVIR 
Ibrutinib	 SAQUINAVIR 
Ibrutinib	 APREPITANT 
Ibrutinib	 VERAPAMIL 
Ibrutinib	 COBICISTAT 
Ibrutinib	 IMATINIB 
Idarubicin	 CLOZAPINE  
Idarubicin	 CICLOSPORIN 
Idelalisib	 RIFAMPICIN 
Idelalisib	 FOSPHENYTOIN  
Idelalisib	 PHENYTOIN 
Idelalisib	 QUETIAPINE 
Ifosfamide	 COUMARINS 
Imatinib	 RIFAMPICIN 
Imatinib	 OXCARBAZEPINE  
Imatinib	 PHENYTOIN 
Imatinib	 CLOZAPINE  
Imatinib	 BOCEPREVIR 
Imatinib	 IBRUTINIB 
Imipenem with Cilastatin	 VALPROIC ACID 
Imipenem with Cilastatin	 VALGANCICLOVIR 
Immunoglobulins	 BCG VACCINE 
Immunoglobulins	 MMR VACCINE 
Immunoglobulins	 YELLOW FEVER VACCINE 
Indinavir	 AMIODARONE 
Indinavir	 FLECAINIDE  
Indinavir	 TELITHROMYCIN 
Indinavir	 FOSPHENYTOIN  
Indinavir	 PHENYTOIN 
Indinavir	 PRIMIDONE 
Indinavir	 KETOCONAZOLE  
Indinavir	 QUININE  
Indinavir	 ARIPIPRAZOLE  
Indinavir	 PIMOZIDE  
Indinavir	 QUETIAPINE 
Indinavir	 SAQUINAVIR 
Indinavir	 ALPRAZOLAM 
Indinavir	 MIDAZOLAM  
Indinavir	 AVANAFIL 
Indinavir	 CICLOSPORIN 
Indinavir	 COLCHICINE  
Indinavir	 CABAZITAXEL 
Indinavir	 IBRUTINIB 
Indinavir	 PONATINIB 
Indinavir	 DOCETAXEL 
Indinavir	 ERGOTAMINE 
Indinavir	 ELETRIPTAN  
Indinavir	 ROSUVASTATIN 
Indinavir	 LOMITAPIDE  
Indinavir	 ORLISTAT 
Indinavir	 RANOLAZINE 
Indinavir	 SILDENAFIL 
Infliximab	 ABATACEPT 
Infliximab	 ANAKINRA 
Infliximab	 CLOZAPINE  
Infliximab	 VACCINES 
Interferons	 AMINOPHYLLINE  
Interferons	 TELBIVUDINE 
Interferons	 THEOPHYLLINE  
Ipilimumab	 CLOZAPINE  
Ipilimumab	 VACCINES 
Irinotecan	 ITRACONAZOLE 
Irinotecan	 CLOZAPINE  
Irinotecan	 ATAZANAVIR  
Irinotecan	 SORAFENIB 
Isoniazid	 CYCLOSERINE 
Isoniazid	 CARBAMAZEPINE  
Isoniazid	 PHENYTOIN  
Ivabradine	 DISOPYRAMIDE 
Ivabradine	 ERYTHROMYCIN 
Ivabradine	 FLUCONAZOLE 
Ivabradine	 ITRACONAZOLE 
Ivabradine	 MEFLOQUINE 
Ivabradine	 PIMOZIDE 
Ivabradine	 RITONAVIR 
Ivabradine	 SOTALOL 
Ivabradine	 VERAPAMIL 
Ivabradine	 PENTAMIDINE ISETIONATE 
Ivacaftor	 ERYTHROMYCIN  
Ivacaftor	 RIFAMPICIN 
Ivacaftor	 FOSPHENYTOIN 
Ivacaftor	 PRIMIDONE 
Ivacaftor	 KETOCONAZOLE  
Ivacaftor	 VORICONAZOLE  
Lacosamide	 TRICYCLIC-RELATED ANTIDEPRESSANTS  
Lacosamide	 SSRIS 
Lacosamide	 TRICYCLICS  
Lacosamide	 MEFLOQUINE 
Lacosamide	 ANTIPSYCHOTICS  
Lacosamide	 ORLISTAT 
Lamivudine	 CLADRIBINE 
Lamivudine	 ORLISTAT 
Lamotrigine	 RIFAMPICIN 
Lamotrigine	 TRICYCLICS  
Lamotrigine	 PHENYTOIN  
Lamotrigine	 VALPROIC ACID  
Lamotrigine	 MEFLOQUINE 
Lamotrigine	 ANTIPSYCHOTICS  
Lamotrigine	 OESTROGENS 
Lamotrigine	 ORLISTAT 
Lapatinib	 RIFAMPICIN  
Lapatinib	 TELITHROMYCIN 
Leflunomide	 METHOTREXATE 
Leflunomide	 VACCINES 
Lenalidomide	 CLARITHROMYCIN  
Lenalidomide	 KETOCONAZOLE  
Lenalidomide	 VERAPAMIL  
Lenalidomide	 CICLOSPORIN  
Levamisole	 WARFARIN 
Levetiracetam	 TRICYCLICS  
Levetiracetam	 MEFLOQUINE 
Levetiracetam	 ANTIPSYCHOTICS  
Levetiracetam	 ORLISTAT 
Levodopa	 VOLATILE LIQUID GENERAL ANAESTHETICS 
Levodopa	 MOCLOBEMIDE 
Lidocaine	 ANTI-ARRHYTHMICS 
Lidocaine	 ANTIPSYCHOTICS  
Lidocaine	 FOSAMPRENAVIR 
Lidocaine	 SAQUINAVIR 
Lidocaine	 TELAPREVIR 
Lidocaine	 PROPRANOLOL 
Lidocaine	 THIAZIDES AND RELATED DIURETICS 
Lidocaine	 CIMETIDINE  
Lithium	 ACE INHIBITORS  
Lithium	 KETOROLAC  
Lithium	 ANGIOTENSIN-II RECEPTOR ANTAGONISTS  
Lithium	 AMIODARONE  
Lithium	 TRICYCLICS 
Lithium	 PHENOTHIAZINES 
Lithium	 SULPIRIDE 
Lithium	 ARSENIC TRIOXIDE 
Lithium	 DAPOXETINE  
Lithium	 LOOP DIURETICS  
Lithium	 POTASSIUM- SPARING DIURETICS AND ALDOSTERONE ANTAGONISTS  
Lithium	 METHYLDOPA  
Lomitapide	 DRONEDARONE  
Lomitapide	 TELITHROMYCIN 
Lomitapide	 TRIAZOLES  
Lomitapide	 SAQUINAVIR 
Lomitapide	 TIPRANAVIR  
Lomitapide	 VERAPAMIL  
Lomitapide	 SIMVASTATIN  
Lomitapide	 BILE ACID SEQUESTRANTS  
Lomustine	 CLOZAPINE  
Lopinavir	 LIDOCAINE 
Lopinavir	 TELITHROMYCIN 
Lopinavir	 PRIMIDONE 
Lopinavir	 ARIPIPRAZOLE  
Lopinavir	 QUETIAPINE 
Lopinavir	 DARUNAVIR 
Lopinavir	 EFAVIRENZ 
Lopinavir	 TENOFOVIR 
Lopinavir	 TIPRANAVIR 
Lopinavir	 BOSENTAN  
Lopinavir	 RUXOLITINIB 
Macitentan	 RIFAMPICIN 
Macrolides	 AMINOPHYLLINE  
Macrolides	 DRONEDARONE  
Macrolides	 RIFABUTIN  
Macrolides	 BEDAQUILINE 
Macrolides	 RIFAMYCINS 
Macrolides	 DABIGATRAN 
Macrolides	 TRAZODONE 
Macrolides	 VALPROIC ACID  
Macrolides	 ITRACONAZOLE 
Macrolides	 LORATADINE 
Macrolides	 MIZOLASTINE 
Macrolides	 ARTENIMOL WITH PIPERAQUINE  
Macrolides	 LURASIDONE  
Macrolides	 PIMOZIDE 
Macrolides	 QUETIAPINE 
Macrolides	 SULPIRIDE 
Macrolides	 ATAZANAVIR 
Macrolides	 EFAVIRENZ 
Macrolides	 RITONAVIR  
Macrolides	 SIMEPREVIR 
Macrolides	 SIMEPREVIR 
Macrolides	 TELAPREVIR  
Macrolides	 ZIDOVUDINE  
Macrolides	 ZOPICLONE 
Macrolides	 ATOMOXETINE 
Macrolides	 AVANAFIL 
Macrolides	 LERCANIDIPINE 
Macrolides	 CICLOSPORIN  
Macrolides	 CILOSTAZOL  
Macrolides	 CLOPIDOGREL 
Macrolides	 COLCHICINE  
Macrolides	 AXITINIB  
Macrolides	 CABOZANTINIB 
Macrolides	 IBRUTINIB 
Macrolides	  PONATINIB 
Macrolides	 CABAZITAXEL 
Macrolides	 VINORELBINE 
Macrolides	 EPLERENONE  
Macrolides	 DOMPERIDONE  
Macrolides	 ERGOTAMINE 
Macrolides	 ELETRIPTAN  
Macrolides	 IVABRADINE 
Macrolides	 IVACAFTOR  
Macrolides	 LENALIDOMIDE  
Macrolides	 PRAVASTATIN 
Macrolides	 LOMITAPIDE  
Macrolides	 PENTAMIDINE ISETIONATE 
Macrolides	 RANOLAZINE 
Macrolides	 SILDENAFIL 
Macrolides	 SIROLIMUS 
Macrolides	 SIROLIMUS 
Macrolides	 TACROLIMUS 
Macrolides	 THEOPHYLLINE  
Macrolides	 TICAGRELOR 
Magnesium (parenteral)	 NIFEDIPINE  
MAOIs	 ALCOHOL  
MAOIs	 ALPHA-BLOCKERS 
MAOIs	 FENTANYL 
MAOIs	 PETHIDINE 
MAOIs	 OPIOID ANALGESICS 
MAOIs	 SERTRALINE  
MAOIs	 DULOXETINE  
MAOIs	 MAOIS  
MAOIs	 TRICYCLICS 
MAOIs	 ANTIEPILEPTICS  
MAOIs	 CARBAMAZEPINE 
MAOIs	 ARTENIMOL WITH PIPERAQUINE 
MAOIs	 CLOZAPINE 
MAOIs	 BUSPIRONE  
MAOIs	 ATOMOXETINE 
MAOIs	 BUPROPION 
MAOIs	 DAPOXETINE  
MAOIs	 LEVODOPA 
MAOIs	 TOLCAPONE 
MAOIs	 ZOLMITRIPTAN  
MAOIs	 METHYLDOPA 
MAOIs	 DOBUTAMINE 
MAOIs	 NORADRENALINE (NOREPINEPHRINE)  
MAOIs	 ISOMETHEPTENE 
MAOIs	 METHYLPHENIDATE 
MAOIs	 PSEUDOEPHEDRINE 
MAOIs	 OXYMETAZOLINE 
MAOIs	 TETRABENAZINE  
Maraviroc	 RIFAMPICIN 
Maraviroc	 KETOCONAZOLE  
Maraviroc	 INDINAVIR 
Maraviroc	 RITONAVIR 
Maraviroc	 COBICISTAT  
Maraviroc	 ORLISTAT 
Mefloquine	 AMIODARONE 
Mefloquine	 MOXIFLOXACIN 
Mefloquine	 RIFAMPICIN 
Mefloquine	 ANTIEPILEPTICS 
Mefloquine	 ARTEMETHER WITH LUMEFANTRINE 
Mefloquine	 QUININE  
Mefloquine	 RISPERIDONE 
Melphalan	 CLOZAPINE  
Melphalan	 CICLOSPORIN 
Memantine	 KETAMINE  
Memantine	 DEXTROMETHORPHAN  
Memantine	 AMANTADINE  
Mepacrine	 ALLOPURINOL  
Mepacrine	 TRIMETHOPRIM  
Mepacrine	 COUMARINS 
Mepacrine	 CLOZAPINE  
Mepacrine	 FEBUXOSTAT 
Meropenem	 VALPROIC ACID 
Methenamine	 SULFONAMIDES 
Methenamine	 ACETAZOLAMIDE 
Methotrexate	 NITROUS OXIDE 
Methotrexate	 DICLOFENAC 
Methotrexate	 MELOXICAM  
Methotrexate	 NAPROXEN  
Methotrexate	 CIPROFLOXACIN  
Methotrexate	 TRIMETHOPRIM  
Methotrexate	 PYRIMETHAMINE 
