"","pbs_code","bnf_drug_name","pbs_drug_name","atc_meaning","atc_code","match_type"
"1574","09441X","ONDANSETRON","ONDANSETRON","ONDANSETRON","A04AA01","dm_I"
"1575","09447F","PRAZIQUANTEL","PRAZIQUANTEL","PRAZIQUANTEL","P02BA01","dm_I"
"1576","09452L","VORICONAZOLE","VORICONAZOLE","VORICONAZOLE","J02AC03","dm_I"
"1577","09454N","OXYBUTYNIN","OXYBUTYNIN","OXYBUTYNIN","G04BD04","dm_I"
"1578","09455P","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1579","09456Q","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1580","09457R","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1581","09458T","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1582","09459W","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1583","09460X","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1584","09461Y","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1585","09462B","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1586","09465E","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"1587","09466F","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"1588","09467G","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"1589","09468H","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"1590","09469J","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"1591","09477T","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"1592","09478W","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"1593","09488J","SUNITINIB","SUNITINIB","SUNITINIB","L01XE04","dm_I"
"1594","09489K","SUNITINIB","SUNITINIB","SUNITINIB","L01XE04","dm_I"
"1595","09490L","SUNITINIB","SUNITINIB","SUNITINIB","L01XE04","dm_I"
"1596","09500B","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"1597","09501C","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"1598","09502D","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"1599","09503E","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"1600","09504F","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"1601","09506H","NEVIRAPINE","NEVIRAPINE","NEVIRAPINE","J05AG01","dm_I"
"1602","09507J","NEVIRAPINE","NEVIRAPINE","NEVIRAPINE","J05AG01","dm_I"
"1603","09523F","RALTEGRAVIR","RALTEGRAVIR","RALTEGRAVIR","J05AX08","dm_I"
"1604","09600G","DEFERASIROX","DEFERASIROX","DEFERASIROX","V03AC03","dm_I"
"1605","09541E","RIFABUTIN","RIFABUTIN","RIFABUTIN","J04AB04","dm_I"
"1606","09542F","RITONAVIR","RITONAVIR","RITONAVIR","J05AE03","dm_I"
"1607","09545J","SAQUINAVIR","SAQUINAVIR","SAQUINAVIR","J05AE01","dm_I"
"1608","09547L","SILDENAFIL","SILDENAFIL","OTHER ANTIHYPERTENSIVES","C02KX","dm_I"
"1609","09548M","SIROLIMUS","SIROLIMUS","SIROLIMUS","L04AA10","dm_I"
"1610","09549N","SIROLIMUS","SIROLIMUS","SIROLIMUS","L04AA10","dm_I"
"1611","09550P","SIROLIMUS","SIROLIMUS","SIROLIMUS","L04AA10","dm_I"
"1612","09554W","STAVUDINE","STAVUDINE","STAVUDINE","J05AF04","dm_I"
"1613","09556Y","STAVUDINE","STAVUDINE","STAVUDINE","J05AF04","dm_I"
"1614","09558C","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1615","09560E","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1616","09561F","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1617","09562G","TELBIVUDINE","TELBIVUDINE","TELBIVUDINE","J05AF11","dm_I"
"1618","09563H","TENOFOVIR","TENOFOVIR","TENOFOVIR DISOPROXIL","J05AF07","dm_I"
"1619","09567M","TIPRANAVIR","TIPRANAVIR","TIPRANAVIR","J05AE09","dm_I"
"1620","09568N","VALACICLOVIR","VALACICLOVIR","VALACICLOVIR","J05AB11","dm_I"
"1621","09569P","VALGANCICLOVIR","VALGANCICLOVIR","VALGANCICLOVIR","J05AB14","dm_I"
"1622","09570Q","ZIDOVUDINE","ZIDOVUDINE","ZIDOVUDINE","J05AF01","dm_I"
"1623","09582H","EVEROLIMUS","EVEROLIMUS","EVEROLIMUS","L04AA18","dm_I"
"1624","09605M","SILDENAFIL","SILDENAFIL","OTHER ANTIHYPERTENSIVES","C02KX","dm_I"
"1625","09607P","APOMORPHINE","APOMORPHINE","APOMORPHINE","N04BC07","dm_I"
"1626","09612X","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1627","09613Y","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1628","09614B","ATAZANAVIR","ATAZANAVIR","ATAZANAVIR","J05AE08","dm_I"
"1629","09615C","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1630","09617E","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1631","09621J","ABATACEPT","ABATACEPT","ABATACEPT","L04AA24","dm_I"
"1632","09625N","CINACALCET","CINACALCET","CINACALCET","H05BX01","dm_I"
"1633","09626P","CINACALCET","CINACALCET","CINACALCET","H05BX01","dm_I"
"1634","09627Q","CINACALCET","CINACALCET","CINACALCET","H05BX01","dm_I"
"1635","09629T","RALTEGRAVIR","RALTEGRAVIR","RALTEGRAVIR","J05AX08","dm_I"
"1636","09630W","TELBIVUDINE","TELBIVUDINE","TELBIVUDINE","J05AF11","dm_I"
"1637","09632Y","CLOZAPINE","CLOZAPINE","CLOZAPINE","N05AH02","dm_I"
"1638","09640J","APOMORPHINE","APOMORPHINE","APOMORPHINE","N04BC07","dm_I"
"1639","09641K","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1640","09642L","LENALIDOMIDE","LENALIDOMIDE","LENALIDOMIDE","L04AX04","dm_I"
"1641","09643M","LENALIDOMIDE","LENALIDOMIDE","LENALIDOMIDE","L04AX04","dm_I"
"1642","09644N","LENALIDOMIDE","LENALIDOMIDE","LENALIDOMIDE","L04AX04","dm_I"
"1643","09645P","LENALIDOMIDE","LENALIDOMIDE","LENALIDOMIDE","L04AX04","dm_I"
"1644","09648T","AMBRISENTAN","AMBRISENTAN","AMBRISENTAN","C02KX02","dm_I"
"1645","09649W","AMBRISENTAN","AMBRISENTAN","AMBRISENTAN","C02KX02","dm_I"
"1646","09651Y","ZIDOVUDINE","ZIDOVUDINE","ZIDOVUDINE","J05AF01","dm_I"
"1647","09652B","ZIDOVUDINE","ZIDOVUDINE","ZIDOVUDINE","J05AF01","dm_I"
"1648","09654D","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1649","09655E","VALGANCICLOVIR","VALGANCICLOVIR","VALGANCICLOVIR","J05AB14","dm_I"
"1650","09660K","RITONAVIR","RITONAVIR","RITONAVIR","J05AE03","dm_I"
"1651","09661L","ADALIMUMAB","ADALIMUMAB","ADALIMUMAB","L04AB04","dm_I"
"1652","09662M","ADALIMUMAB","ADALIMUMAB","ADALIMUMAB","L04AB04","dm_I"
"1653","09663N","ADALIMUMAB","ADALIMUMAB","ADALIMUMAB","L04AB04","dm_I"
"1654","09664P","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1655","09665Q","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1656","09666R","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1657","09674E","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1658","09677H","RITONAVIR","RITONAVIR","RITONAVIR","J05AE03","dm_I"
"1659","09678J","ADALIMUMAB","ADALIMUMAB","ADALIMUMAB","L04AB04","dm_I"
"1660","09679K","ADALIMUMAB","ADALIMUMAB","ADALIMUMAB","L04AB04","dm_I"
"1661","09680L","ADALIMUMAB","ADALIMUMAB","ADALIMUMAB","L04AB04","dm_I"
"1662","09681M","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1663","09682N","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1664","09683P","TACROLIMUS","TACROLIMUS","TACROLIMUS","L04AD02","dm_I"
"1665","09700M","ESCITALOPRAM","ESCITALOPRAM","ESCITALOPRAM","N06AB10","dm_I"
"1666","09701N","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1667","09702P","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1668","09703Q","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1669","09704R","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1670","09705T","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1671","09706W","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1672","09707X","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1673","09711D","ESCITALOPRAM","ESCITALOPRAM","ESCITALOPRAM","N06AB10","dm_I"
"1674","09712E","ESCITALOPRAM","ESCITALOPRAM","ESCITALOPRAM","N06AB10","dm_I"
"1675","09713F","PEMETREXED","PEMETREXED","PEMETREXED","L01BA04","dm_I"
"1676","09717K","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1677","09718L","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1678","09719M","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1679","09720N","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1680","09721P","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1681","09722Q","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1682","09723R","TOPIRAMATE","TOPIRAMATE","TOPIRAMATE","N03AX11","dm_I"
"1683","09727Y","ESCITALOPRAM","ESCITALOPRAM","ESCITALOPRAM","N06AB10","dm_I"
"1684","09728B","ESCITALOPRAM","ESCITALOPRAM","ESCITALOPRAM","N06AB10","dm_I"
"1685","09729C","PEMETREXED","PEMETREXED","PEMETREXED","L01BA04","dm_I"
"1686","09730D","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"1687","09731E","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"1688","09732F","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"1689","09733G","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"1690","09734H","NARATRIPTAN","NARATRIPTAN","NARATRIPTAN","N02CC02","dm_I"
"1691","09735J","NARATRIPTAN","NARATRIPTAN","NARATRIPTAN","N02CC02","dm_I"
"1692","09736K","ZOLMITRIPTAN","ZOLMITRIPTAN","ZOLMITRIPTAN","N02CC03","dm_I"
"1693","09737L","ZOLMITRIPTAN","ZOLMITRIPTAN","ZOLMITRIPTAN","N02CC03","dm_I"
"1694","09747B","SIROLIMUS","SIROLIMUS","SIROLIMUS","L04AA10","dm_I"
"1695","09748C","SIROLIMUS","SIROLIMUS","SIROLIMUS","L04AA10","dm_I"
"1696","10000H","DARUNAVIR","DARUNAVIR","DARUNAVIR","J05AE10","dm_I"
"1697","10003L","DABRAFENIB","DABRAFENIB","DABRAFENIB","L01XE23","dm_I"
"1698","10004M","SUNITINIB","SUNITINIB","SUNITINIB","L01XE04","dm_I"
"1699","10009T","SUNITINIB","SUNITINIB","SUNITINIB","L01XE04","dm_I"
"1700","10010W","SUNITINIB","SUNITINIB","SUNITINIB","L01XE04","dm_I"
"1701","10012Y","IVABRADINE","IVABRADINE","IVABRADINE","C01EB17","dm_I"
"1702","10014C","ERLOTINIB","ERLOTINIB","ERLOTINIB","L01XE03","dm_I"
"1703","10019H","ERLOTINIB","ERLOTINIB","ERLOTINIB","L01XE03","dm_I"
"1704","10020J","ERLOTINIB","ERLOTINIB","ERLOTINIB","L01XE03","dm_I"
"1705","10022L","ERLOTINIB","ERLOTINIB","ERLOTINIB","L01XE03","dm_I"
"1706","10025P","ERLOTINIB","ERLOTINIB","ERLOTINIB","L01XE03","dm_I"
"1707","10026Q","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","L01AA01","dm_I"
"1708","10034D","BUDESONIDE","BUDESONIDE","BUDESONIDE","A07EA06","dm_I"
"1709","10041L","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"1710","10042M","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"1711","10043N","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"1712","10052C","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"1713","10057H","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1714","10059K","GLYCOPYRRONIUM","GLYCOPYRRONIUM","GLYCOPYRRONIUM BROMIDE","R03BB06","dm_I"
"1715","10065R","DOLUTEGRAVIR","DOLUTEGRAVIR","DOLUTEGRAVIR","J05AX12","dm_I"
"1716","10067W","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1717","10103R","EXEMESTANE","EXEMESTANE","EXEMESTANE","L02BG06","dm_I"
"1718","10128C","SAXAGLIPTIN","SAXAGLIPTIN","SAXAGLIPTIN","A10BH03","dm_I"
"1719","10131F","EVEROLIMUS","EVEROLIMUS","EVEROLIMUS","L01XE10","dm_I"
"1720","10132G","EVEROLIMUS","EVEROLIMUS","EVEROLIMUS","L01XE10","dm_I"
"1721","10133H","EVEROLIMUS","EVEROLIMUS","EVEROLIMUS","L01XE10","dm_I"
"1722","10134J","MACITENTAN","MACITENTAN","MACITENTAN","C02KX04","dm_I"
"1723","10135K","EVEROLIMUS","EVEROLIMUS","EVEROLIMUS","L01XE10","dm_I"
"1724","10136L","MACITENTAN","MACITENTAN","MACITENTAN","C02KX04","dm_I"
"1725","10137M","CERTOLIZUMAB PEGOL","CERTOLIZUMAB PEGOL","CERTOLIZUMAB PEGOL","L04AB05","dm_I"
"1726","10140Q","ERIBULIN","ERIBULIN","ERIBULIN","L01XX41","dm_I"
"1727","10144X","ERIBULIN","ERIBULIN","ERIBULIN","L01XX41","dm_I"
"1728","10148D","DOCETAXEL","DOCETAXEL","DOCETAXEL","L01CD02","dm_I"
"1729","10151G","PERAMPANEL","PERAMPANEL","PERAMPANEL","N03AX22","dm_I"
"1730","10157N","PERAMPANEL","PERAMPANEL","PERAMPANEL","N03AX22","dm_I"
"1731","10158P","DOCETAXEL","DOCETAXEL","DOCETAXEL","L01CD02","dm_I"
"1732","10160R","PERAMPANEL","PERAMPANEL","PERAMPANEL","N03AX22","dm_I"
"1733","10162W","PERAMPANEL","PERAMPANEL","PERAMPANEL","N03AX22","dm_I"
"1734","10163X","PERAMPANEL","PERAMPANEL","PERAMPANEL","N03AX22","dm_I"
"1735","10168E","VORICONAZOLE","VORICONAZOLE","VORICONAZOLE","J02AC03","dm_I"
"1736","10170G","IVACAFTOR","IVACAFTOR","IVACAFTOR","R07AX02","dm_I"
"1737","10174L","ENZALUTAMIDE","ENZALUTAMIDE","ENZALUTAMIDE","L02BB04","dm_I"
"1738","10176N","DOXYCYCLINE","DOXYCYCLINE","DOXYCYCLINE","J01AA02","dm_I"
"1739","10184B","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1740","10196P","INFLIXIMAB","INFLIXIMAB","INFLIXIMAB","L04AB02","dm_I"
"1741","10198R","VORICONAZOLE","VORICONAZOLE","VORICONAZOLE","J02AC03","dm_I"
"1742","10200W","SIMEPREVIR","SIMEPREVIR","SIMEPREVIR","J05AE14","dm_I"
"1743","10614P","RUXOLITINIB","RUXOLITINIB","RUXOLITINIB","L01XE18","dm_I"
"1744","01039Q","AMINOPHYLLINE","AMINOPHYLLINE","AMINOPHYLLINE","R03DA05","dm_I"
"1745","01101Y","ACICLOVIR","ACICLOVIR","ACICLOVIR","J05AB01","dm_I"
"1746","01129K","NEVIRAPINE","NEVIRAPINE","NEVIRAPINE","J05AG01","dm_I"
"1747","01167K","CHLORAMPHENICOL","CHLORAMPHENICOL","CHLORAMPHENICOL","J01BA01","dm_I"
"1748","01236C","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"1749","01238E","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"1750","01265N","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","L01AA01","dm_I"
"1751","01274C","MICONAZOLE","MICONAZOLE","MICONAZOLE","A01AB09","dm_I"
"1752","01275D","MICONAZOLE","MICONAZOLE","MICONAZOLE","G01AF04","dm_I"
"1753","01277F","MICONAZOLE","MICONAZOLE","MICONAZOLE","G01AF04","dm_I"
"1754","01282L","MICONAZOLE","MICONAZOLE","MICONAZOLE","D01AC02","dm_I"
"1755","01286Q","MICONAZOLE","MICONAZOLE","MICONAZOLE","D01AC02","dm_I"
"1756","01314E","DILTIAZEM","DILTIAZEM","DILTIAZEM","C08DB01","dm_I"
"1757","01354G","DASATINIB","DASATINIB","DASATINIB","L01XE06","dm_I"
"1758","01372F","EPIRUBICIN","EPIRUBICIN","EPIRUBICIN","L01DB03","dm_I"
"1759","01374H","EPIRUBICIN","EPIRUBICIN","EPIRUBICIN","L01DB03","dm_I"
"1760","01403W","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN","J01FA01","dm_I"
"1761","01452K","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"1762","01470J","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"1763","01485E","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","C03AA03","dm_I"
"1764","01487G","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"1765","01514Q","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"1766","01643L","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"1767","01662L","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"1768","01675E","NEOSTIGMINE","NEOSTIGMINE","NEOSTIGMINE","N07AA01","dm_I"
"1769","01678H","NIFEDIPINE","NIFEDIPINE","NIFEDIPINE","C08CA05","dm_I"
"1770","01686R","NICOTINIC ACID","NICOTINIC ACID","NICOTINIC ACID","B04AE02","dm_I"
"1771","01796M","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"1772","01837Q","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"1773","01851K","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1774","01854N","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1775","01855P","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1776","01856Q","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1777","01858T","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1778","01859W","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1779","01860X","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1780","01861Y","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1781","01864D","CIMETIDINE","CIMETIDINE","CIMETIDINE","A02BA01","dm_I"
"1782","01979E","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"1783","01986M","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"1784","01989Q","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"1785","01992W","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"1786","01993X","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"1787","01994Y","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"1788","01999F","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"1789","02032Y","VALPROATE","VALPROATE","VALPROIC ACID","N03AG01","dm_I"
"1790","02033B","VALPROATE","VALPROATE","VALPROIC ACID","N03AG01","dm_I"
"1791","02067T","BUDESONIDE","BUDESONIDE","BUDESONIDE","R03BA02","dm_I"
"1792","02075F","BUDESONIDE","BUDESONIDE","BUDESONIDE","R01AD05","dm_I"
"1793","02178P","TOLBUTAMIDE","TOLBUTAMIDE","TOLBUTAMIDE","A10BB03","dm_I"
"1794","02212K","WARFARIN","WARFARIN","WARFARIN","B01AA03","dm_I"
"1795","02239W","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"1796","02298Y","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"1797","02364K","FELODIPINE","FELODIPINE","FELODIPINE","C02DE10","dm_I"
"1798","02423M","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN","J01FA01","dm_I"
"1799","02491D","FAMOTIDINE","FAMOTIDINE","FAMOTIDINE","A02BA03","dm_I"
"1800","02524W","NORTRIPTYLINE","NORTRIPTYLINE","NORTRIPTYLINE","N06AA10","dm_I"
"1801","02548D","MELPHALAN","MELPHALAN","MELPHALAN","L01AA03","dm_I"
"1802","02582X","CISPLATIN","CISPLATIN","CISPLATIN","L01XA01","dm_I"
"1803","02607F","TOLBUTAMIDE","TOLBUTAMIDE","TOLBUTAMIDE","A10BB03","dm_I"
"1804","02611K","THEOPHYLLINE","THEOPHYLLINE","THEOPHYLLINE","R03DA04","dm_I"
"1805","02615P","THEOPHYLLINE","THEOPHYLLINE","THEOPHYLLINE","R03DA04","dm_I"
"1806","02620X","THEOPHYLLINE","THEOPHYLLINE","THEOPHYLLINE","R03DA04","dm_I"
"1807","02632M","THEOPHYLLINE","THEOPHYLLINE","THEOPHYLLINE","R03DA04","dm_I"
"1808","02684G","PREDNISOLONE","PREDNISOLONE","PREDNISOLONE","S01BA04","dm_I"
"1809","02693R","CHLORAMPHENICOL","CHLORAMPHENICOL","CHLORAMPHENICOL","J01BA01","dm_I"
"1810","02716Y","FLUTICASONE","FLUTICASONE","FLUTICASONE","R03BA05","dm_I"
"1811","02717B","FLUTICASONE","FLUTICASONE","FLUTICASONE","R03BA05","dm_I"
"1812","02736B","RALTEGRAVIR","RALTEGRAVIR","RALTEGRAVIR","J05AX08","dm_I"
"1813","02830Y","PROPRANOLOL","PROPRANOLOL","PROPRANOLOL","C07AA05","dm_I"
"1814","02904W","CYTARABINE","CYTARABINE","CYTARABINE","L01BC01","dm_I"
"1815","03014P","LEVODOPA","LEVODOPA","LEVODOPA","N04BA01","dm_I"
"1816","03144L","LEVODOPA","LEVODOPA","LEVODOPA","N04BA01","dm_I"
"1817","03194D","METHYLDOPA","METHYLDOPA","METHYLDOPA (LEVOROTATORY)","C02AB01","dm_I"
"1818","03323X","VANCOMYCIN","VANCOMYCIN","VANCOMYCIN","J01XA01","dm_I"
"1819","03324Y","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN","J01FA01","dm_I"
"1820","03329F","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN","J01FA01","dm_I"
"1821","03359T","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","J01CE02","dm_I"
"1822","03448L","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"1823","03454T","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"1824","03479D","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"1825","03480E","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"1826","03483H","PETHIDINE","PETHIDINE","PETHIDINE","N02AB02","dm_I"
"1827","03484J","TRAMADOL","TRAMADOL","TRAMADOL","N02AX02","dm_I"
"1828","04008Y","KETOCONAZOLE","KETOCONAZOLE","KETOCONAZOLE","D01AC08","dm_I"
"1829","04020N","MICONAZOLE","MICONAZOLE","MICONAZOLE","G01AF04","dm_I"
"1830","04033G","PHENYLEPHRINE","PHENYLEPHRINE","PHENYLEPHRINE","S01FB01","dm_I"
"1831","04077N","ASPIRIN","ASPIRIN","ACETYLSALICYLIC ACID","B01AC06","dm_I"
"1832","04078P","ASPIRIN","ASPIRIN","ACETYLSALICYLIC ACID","B01AC06","dm_I"
"1833","04079Q","BUDESONIDE","BUDESONIDE","BUDESONIDE","R01AD05","dm_I"
"1834","04092J","BUDESONIDE","BUDESONIDE","BUDESONIDE","R01AD05","dm_I"
"1835","04109G","ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM","N05BA12","dm_I"
"1836","04110H","ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM","N05BA12","dm_I"
"1837","04115N","AZITHROMYCIN","AZITHROMYCIN","AZITHROMYCIN","J01FA10","dm_I"
"1838","04179Y","CLOPIDOGREL","CLOPIDOGREL","CLOPIDOGREL","B01AC04","dm_I"
"1839","04206J","ETHAMBUTOL","ETHAMBUTOL","ETHAMBUTOL","J04AK02","dm_I"
"1840","04330X","MOXIFLOXACIN","MOXIFLOXACIN","MOXIFLOXACIN","J01MA14","dm_I"
"1841","04223G","FLUOROURACIL","FLUOROURACIL","FLUOROURACIL","L01BC02","dm_I"
"1842","04277D","ALFUZOSIN","ALFUZOSIN","ALFUZOSIN","G04CA01","dm_I"
"1843","04290T","VARDENAFIL","VARDENAFIL","VARDENAFIL","G04BE09","dm_I"
"1844","04313B","LORATADINE","LORATADINE","LORATADINE","R06AX13","dm_I"
"1845","04337G","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","D06BX01","dm_I"
"1846","04340K","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","D06BX01","dm_I"
"1847","04341L","MICONAZOLE","MICONAZOLE","MICONAZOLE","D01AC02","dm_I"
"1848","04377J","OXYMETAZOLINE","OXYMETAZOLINE","OXYMETAZOLINE","R01AA05","dm_I"
"1849","04378K","OXYMETAZOLINE","OXYMETAZOLINE","OXYMETAZOLINE","R01AA05","dm_I"
"1850","04418M","PSEUDOEPHEDRINE","PSEUDOEPHEDRINE","PSEUDOEPHEDRINE","R01BA02","dm_I"
